,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,0.6,0.56,0.58,0.0,0.0,0.81,0.61,0.3,0.83,0.0
critterding.csv,0.43,0.66,0.3,0.56,0.18,0.8,0.33,0.44,0.83,0.66
enlightenment.csv,0.56,0.45,0.25,0.71,0.19,0.77,0.28,0.63,0.69,0.58
exordium.csv,0.7,0.56,0.56,0.89,0.21,0.94,0.33,0.53,1.0,0.86
google-caja.csv,0.46,0.49,0.34,0.72,0.19,0.91,0.54,0.42,0.84,0.82
itext.csv,0.43,0.59,0.35,0.65,0.23,0.74,0.35,0.43,0.9,0.81
lockss.csv,0.53,0.86,0.45,0.77,0.37,0.84,0.46,0.66,0.84,0.77
modplug.csv,0.41,0.54,0.3,0.62,0.2,0.79,0.36,0.42,0.86,0.72
reactos-mirror.csv,0.61,0.56,0.29,0.77,0.26,0.79,0.28,0.62,0.8,0.63
yafdotnet.csv,0.45,0.46,0.42,0.74,0.2,0.82,0.5,0.66,0.9,0.75
