,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.0,3.0,2.0,9.0,2.0,0.0,8.0,24.0,1.0,8.0
aime.csv,7.0,0.0,30.0,405.0,2.0,59.0,5.0,1.0,8.0,0.0
badtrinitycore.csv,49.0,87.0,2.0,1.0,6.0,0.0,2.0,12.0,1.0,2.0
electric-core.csv,5.0,4.0,9.0,21.0,21.0,8.0,17.0,25.0,4.0,8.0
geochat.csv,0.0,0.0,1.0,19.0,4.0,59.0,2.0,0.0,68.0,0.0
mumble.csv,7.0,0.0,5.0,10.0,1.0,0.0,0.0,0.0,9.0,0.0
olsrd.csv,6.0,0.0,2.0,6.0,0.0,0.0,13.0,78.0,2.0,9.0
silvertree.csv,8.0,1.0,4.0,21.0,2.0,0.0,11.0,88.0,2.0,6.0
skia.csv,4.0,3.0,3.0,10.0,1.0,0.0,7.0,27.0,1.0,0.0
t-2.csv,6.0,1.0,1.0,2.0,11.0,3.0,5.0,2.0,3.0,10.0
