,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.85,0.74,0.62,0.6,0.6,0.05,0.54,0.22,0.39,0.12
aime.csv,0.59,0.0,0.31,0.0,0.86,0.0,0.15,0.07,0.26,0.24
badtrinitycore.csv,0.0,0.0,0.49,0.83,0.4,0.68,0.62,0.4,0.43,0.34
electric-core.csv,0.57,0.66,0.63,0.62,0.26,0.13,0.58,0.63,0.53,0.55
geochat.csv,0.27,0.21,0.39,0.05,0.62,0.0,0.15,0.04,0.0,0.56
mumble.csv,0.5,0.0,0.42,0.11,0.75,0.58,0.81,0.27,0.46,0.53
olsrd.csv,0.67,0.73,0.53,0.58,0.51,0.24,0.73,0.53,0.63,0.41
silvertree.csv,0.3,0.54,0.68,0.61,0.17,0.7,0.65,0.2,0.61,0.31
skia.csv,0.66,0.62,0.6,0.7,0.65,0.48,0.71,0.57,0.67,0.44
t-2.csv,0.42,0.25,0.4,0.52,0.49,0.59,0.66,0.66,0.38,0.46
