,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.62,0.59,0.4,0.77,0.64,0.78,0.07,0.33,0.67,0.17,0.51,0.7,0.36,0.36,0.63,0.59
betoffice.csv,0.52,0.74,0.4,0.95,0.78,0.74,0.83,0.64,0.25,0.9,0.72,0.84,0.75,0.6,0.77,0.76
bnetd.csv,0.83,1.0,0.95,0.36,0.44,0.43,0.54,1.0,0.8,0.42,0.72,0.9,0.57,0.64,0.8,0.85
elvishrayrenderer.csv,0.55,0.46,0.05,0.86,0.78,0.7,0.15,0.04,0.22,0.34,0.26,0.49,0.5,0.38,0.6,0.74
emisview.csv,0.31,0.0,0.35,0.55,0.45,0.78,0.22,0.16,0.6,0.02,0.64,0.41,0.39,0.29,0.5,0.09
findbugs.csv,0.81,0.67,0.85,0.45,0.82,0.57,0.71,0.84,0.83,0.19,0.87,0.42,0.54,0.52,0.73,0.53
hazelcast.csv,0.86,0.66,0.6,0.73,0.95,0.96,0.68,0.69,0.86,0.45,0.56,0.78,0.64,0.71,0.83,0.59
jitterbit.csv,0.95,0.98,0.4,0.77,0.91,0.7,0.32,0.09,0.72,0.22,0.95,0.47,0.75,0.57,0.77,0.65
jppf-project.csv,0.69,0.48,0.9,0.23,0.73,0.43,0.8,0.89,0.59,0.57,0.56,0.8,0.64,0.45,0.57,0.5
megasquirtavr.csv,1.0,1.0,0.5,0.91,0.98,1.0,0.95,0.84,0.76,0.97,1.0,0.92,0.93,0.98,0.97,0.76
stajistics.csv,0.67,0.86,0.0,0.91,0.76,1.0,0.17,0.47,0.4,1.0,0.72,0.96,0.89,0.74,0.6,0.79
trackit.csv,0.12,0.06,0.35,0.32,0.36,0.04,0.73,0.09,0.26,0.25,0.33,0.08,0.21,0.1,0.23,0.15
tweetsharp.csv,0.62,0.24,0.75,0.68,0.69,0.78,0.8,0.18,0.66,0.34,0.82,0.14,0.75,0.74,0.7,0.24
wxlua.csv,0.45,0.76,0.65,0.82,0.24,0.3,0.56,0.0,0.5,0.88,0.92,0.47,0.32,0.9,0.23,0.62
x4x.csv,0.76,0.84,0.7,0.82,0.82,0.83,0.78,0.64,0.7,0.38,0.72,0.77,0.64,0.48,0.57,0.71
xharbour.csv,0.86,0.75,0.95,0.82,0.71,0.74,0.93,0.58,0.75,0.73,0.77,0.41,0.93,0.81,0.87,0.74
