,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.38,0.14,0.25,0.0,0.25,0.08
exl.csv,0.77,0.66,0.67,0.0,0.29,0.15
opennms.csv,0.27,0.32,0.31,0.0,0.53,0.08
phet.csv,0.53,0.26,0.08,1.0,0.24,0.38
runuomondains.csv,0.39,0.33,0.35,0.0,0.24,0.54
