,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.92,0.7,1.0,0.68,0.9,0.86,1.0,0.88,0.9,0.94,0.97,0.98,0.71,1.0
chrysalis.csv,0.69,0.42,0.09,0.59,0.43,0.71,0.67,0.48,0.74,0.06,0.64,0.77,1.0,0.81
etics.csv,0.77,0.26,0.91,0.59,0.1,0.14,0.67,0.12,0.65,0.12,0.58,0.87,0.57,0.63
flexpay.csv,0.0,0.7,0.09,0.77,0.48,0.14,0.0,0.62,0.46,0.94,0.25,0.96,0.07,0.44
ifmo-game-1.csv,0.31,0.31,0.0,0.55,0.0,0.86,0.33,0.05,0.42,0.56,0.11,0.65,0.71,0.07
jcl.csv,0.62,0.61,0.91,0.95,0.81,0.57,0.67,0.43,0.51,0.75,0.53,0.98,0.79,0.93
linuxsh.csv,0.46,0.3,0.82,0.32,0.0,0.29,0.67,0.14,0.53,0.0,0.39,0.6,0.36,0.07
mvdsv.csv,0.08,0.02,0.0,0.27,0.33,0.14,1.0,0.33,0.02,0.06,0.28,0.0,0.5,0.07
openmeetings.csv,0.62,0.45,0.36,0.95,0.0,0.29,0.67,0.38,0.69,0.94,0.25,0.28,0.57,0.56
plato.csv,0.92,0.9,1.0,0.95,0.71,1.0,1.0,0.79,0.94,1.0,1.0,1.0,0.93,0.41
projecteqemu.csv,0.77,0.55,0.91,0.82,0.1,0.43,1.0,0.21,0.58,0.12,0.81,0.77,0.79,0.22
scite-ru.csv,1.0,0.84,0.91,0.86,0.43,0.86,1.0,0.88,1.0,0.81,0.92,0.63,1.0,0.44
uclmda.csv,0.08,0.19,0.09,0.14,0.19,0.0,0.0,0.1,0.22,0.0,0.03,0.99,0.14,0.04
vrjuggler.csv,0.08,0.18,0.0,0.27,0.0,0.29,0.0,0.36,0.03,0.62,0.03,0.01,0.29,0.0
