,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.26,0.23,0.1,0.0,0.19,0.06,0.21,0.21,0.11,0.28,0.28
linux-ntfs.csv,0.19,0.32,0.56,0.33,0.17,0.31,0.48,0.46,0.12,0.28,0.0
olap-navigator.csv,0.0,0.58,0.39,0.49,0.55,0.53,0.68,0.46,0.61,0.24,0.93
phonon-vlc-mplayer.csv,0.52,0.33,0.0,0.53,0.4,0.67,0.8,0.17,0.26,0.11,0.28
qgis.csv,0.15,0.0,0.29,0.34,0.53,0.65,0.74,0.5,0.74,0.4,0.21
qse.csv,0.15,0.17,0.21,0.12,0.0,0.2,0.37,0.22,0.29,0.11,0.34
rebecca-aiml.csv,0.37,0.33,0.21,0.3,0.53,0.25,0.32,0.16,0.0,0.19,0.21
roller.csv,0.22,0.3,0.18,0.27,0.13,0.04,0.56,0.15,0.36,0.2,0.62
xapian.csv,0.15,0.19,0.18,0.43,0.17,0.22,0.31,0.21,0.55,0.0,0.1
zoolib.csv,0.11,0.17,0.14,0.08,0.06,0.06,0.08,0.01,0.03,0.06,0.0
