,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv
bulmages.csv,0.05,0.0,0.51,0.21,0.81,0.4,0.23,0.4,0.31,0.0,0.6,0.19,0.2,0.16,0.22,0.0,0.39,0.28
codeblocks.csv,0.74,0.75,0.49,0.51,0.76,0.9,0.91,0.5,0.92,0.89,1.0,0.75,0.78,0.71,0.59,0.46,0.74,0.25
grisbi.csv,0.62,0.65,0.89,0.86,0.86,0.97,0.86,0.52,0.62,0.44,0.8,0.96,0.93,0.77,0.78,0.94,0.78,0.97
libmesh.csv,0.48,0.39,0.37,0.19,0.48,0.03,0.53,0.61,0.65,1.0,0.6,0.5,0.58,0.58,0.59,0.06,0.13,0.28
mesa3d.csv,0.33,0.67,0.54,0.67,0.14,0.83,0.41,0.83,0.5,0.67,1.0,0.44,0.62,0.58,0.56,0.64,0.65,0.23
panda3d.csv,0.12,0.33,0.51,0.58,0.1,0.57,0.55,0.0,0.31,0.67,0.4,0.52,0.43,0.81,0.57,0.19,0.3,0.26
proftp.csv,0.14,0.34,0.43,0.09,0.19,0.77,0.3,0.15,0.15,0.0,0.2,0.23,0.15,0.71,0.05,0.03,0.43,0.02
qmmp.csv,0.48,0.42,0.51,0.53,0.62,0.37,0.67,0.69,0.65,0.89,0.6,0.48,0.72,0.48,0.65,0.61,0.48,0.49
red5.csv,0.83,0.88,0.77,0.65,0.71,0.8,0.56,0.77,0.88,1.0,1.0,0.77,0.96,0.71,0.7,0.99,0.87,0.48
skia.csv,0.48,0.38,0.49,0.07,0.57,0.63,0.29,0.69,0.31,0.22,0.4,0.42,0.14,0.39,0.35,0.12,0.48,0.59
soar.csv,0.6,0.52,0.4,0.58,0.57,0.53,0.45,0.2,0.54,0.22,0.4,0.62,0.45,0.55,0.65,0.83,0.48,0.71
super-tux.csv,0.45,0.91,0.63,0.7,0.71,1.0,0.68,0.85,0.77,1.0,1.0,0.79,0.92,0.1,0.75,0.86,0.96,0.4
t-2.csv,0.4,0.86,0.43,0.21,0.76,0.1,0.97,0.64,0.62,1.0,1.0,0.33,0.87,0.74,0.57,0.16,0.39,0.37
tart.csv,0.33,0.16,0.57,0.6,0.57,0.97,0.82,0.4,0.65,0.89,1.0,0.25,0.4,0.48,0.68,0.16,0.48,0.37
tcvp.csv,0.05,0.13,0.0,0.05,0.0,0.0,0.02,0.04,0.0,0.78,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0
tencompetence.csv,0.36,0.1,0.26,0.16,0.33,0.07,0.06,0.41,0.85,0.0,0.0,0.44,0.48,0.68,0.29,0.45,0.26,0.81
utgb.csv,0.21,0.53,0.6,0.07,0.43,0.87,0.42,0.07,0.15,0.33,0.8,0.52,0.43,0.58,0.25,0.43,0.61,0.27
xbrlapi.csv,0.64,0.08,0.8,0.74,0.57,0.43,0.71,0.49,0.35,0.0,0.6,0.44,0.03,0.94,0.17,0.0,0.22,0.34
