,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,0.4,0.32,0.51,0.31,0.41,0.44,0.35,0.46,0.44,0.41,0.51,0.38,0.38,0.54,0.3,0.33,0.53,0.39,0.34,0.47
blogentis.csv,0.61,0.44,0.66,0.4,0.45,0.63,0.55,0.43,0.7,0.55,0.4,0.42,0.57,0.44,0.32,0.62,0.49,0.46,0.49,0.89
carabiner.csv,0.37,0.4,0.51,0.46,0.42,0.72,0.43,0.45,0.42,0.45,0.37,0.46,0.47,0.92,0.36,0.43,0.53,0.39,0.41,0.6
continuum-ide.csv,0.0,0.34,0.54,0.42,0.93,0.83,0.8,0.47,0.93,0.5,0.56,0.75,0.92,0.77,0.4,0.88,0.89,0.88,0.0,0.0
emulemorph.csv,0.0,0.91,0.95,0.6,0.64,0.94,0.68,0.0,0.91,0.83,0.75,0.81,0.56,0.62,0.8,0.5,0.8,0.59,0.75,0.8
gtad.csv,0.71,0.39,0.37,0.92,0.86,0.63,0.37,0.5,0.89,0.5,0.97,0.88,0.48,0.67,0.47,0.42,0.94,0.67,0.93,0.75
htmlunit.csv,0.35,0.29,0.36,0.39,0.44,0.88,0.5,0.67,0.67,0.48,0.44,0.76,0.39,0.47,0.36,0.37,0.47,0.48,0.94,0.57
jaxen.csv,0.4,0.38,0.54,0.38,0.44,0.57,0.44,0.74,0.73,0.4,0.51,0.85,0.47,0.46,0.37,0.44,0.41,0.45,0.92,0.48
jsr308-langtools.csv,0.36,0.0,0.0,0.0,0.4,0.41,0.38,0.56,0.37,0.37,0.0,0.4,0.0,0.37,0.32,0.37,0.37,0.36,0.35,0.4
jvcl.csv,0.9,0.93,0.8,0.74,0.7,0.93,0.56,0.8,0.58,0.83,0.88,0.53,0.56,0.8,0.47,0.89,0.9,0.67,0.82,0.67
kaffeine.csv,0.34,0.93,0.34,0.3,0.36,0.46,0.34,0.42,0.42,0.39,0.34,0.35,0.36,0.42,0.27,0.35,0.49,0.33,0.35,0.51
m-m-m.csv,0.43,0.55,0.48,0.36,0.54,0.45,0.41,0.74,0.43,0.38,0.43,0.41,0.43,0.64,0.33,0.39,0.46,0.44,0.36,0.4
motu.csv,0.34,0.38,0.42,0.32,0.54,0.52,0.39,0.66,0.4,0.86,0.38,0.4,0.35,0.43,0.38,0.55,0.49,0.47,0.35,0.54
nh3d.csv,0.34,0.52,0.83,0.0,0.4,0.41,0.38,0.56,0.37,0.37,0.92,0.4,0.75,0.43,0.32,0.37,0.37,0.36,0.36,0.4
sarasvati.csv,0.48,0.88,0.49,0.62,0.75,0.66,0.57,0.62,0.63,0.75,0.53,0.41,0.88,0.52,0.43,0.42,0.53,0.86,0.4,0.62
stemkit.csv,0.92,0.73,0.95,0.44,0.71,0.92,0.93,0.69,0.72,0.94,0.84,0.86,0.6,0.56,0.67,0.93,0.96,0.81,0.77,0.96
taokgame.csv,0.7,0.0,0.0,0.59,0.67,0.97,0.94,0.8,0.94,0.93,0.94,0.95,0.57,0.91,0.91,0.5,0.68,0.91,0.63,0.95
wgs-assembler.csv,0.46,0.51,0.54,0.34,0.75,0.44,0.45,0.86,0.51,0.43,0.64,0.91,0.54,0.43,0.64,0.37,0.44,0.35,0.44,0.53
zabbix.csv,0.38,0.32,0.98,0.31,0.42,0.6,0.5,0.73,0.63,0.72,0.7,0.76,0.51,0.45,0.86,0.53,0.53,0.66,0.7,0.75
