,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,scenemonitor.csv,pustefix.csv,pamguard.csv,customsagetv.csv,clamav.csv,papertoolkit.csv,gss.csv,tango-cs.csv
checker-framework.csv,0.0,0.0,0.0,1.0,5.0,1.0,3.0,1.0,3.0,20.0,0.0,2.0,0.0,3.0,0.0,0.0,4.0,14.0,0.0,0.0
clamav.csv,0.0,0.0,1.0,5.0,6.0,2.0,1.0,1.0,6.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
customsagetv.csv,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,17.0
gss.csv,4.0,22.0,0.0,5.0,3.0,5.0,1.0,0.0,7.0,3.0,0.0,0.0,5.0,1.0,2.0,7.0,3.0,6.0,0.0,0.0
guineu.csv,0.0,13.0,52.0,0.0,0.0,2.0,0.0,4.0,68.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,5.0,0.0,3.0
inkscape.csv,5.0,0.0,0.0,1.0,3.0,7.0,0.0,6.0,3.0,6.0,0.0,2.0,0.0,1.0,1.0,0.0,12.0,17.0,0.0,7.0
mpqc.csv,0.0,3.0,52.0,62.0,4.0,0.0,3.0,0.0,20.0,11.0,1.0,0.0,0.0,4.0,1.0,1.0,5.0,10.0,0.0,0.0
nsis.csv,0.0,9.0,2.0,12.0,6.0,1.0,4.0,1.0,16.0,13.0,0.0,0.0,0.0,4.0,1.0,0.0,16.0,21.0,0.0,5.0
octave.csv,9.0,8.0,0.0,1.0,1.0,0.0,0.0,6.0,3.0,5.0,1.0,0.0,3.0,2.0,2.0,5.0,0.0,62.0,1.0,0.0
owfs.csv,0.0,24.0,0.0,3.0,8.0,1.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,26.0,0.0,0.0,2.0,12.0,3.0,0.0
owlib.csv,5.0,5.0,0.0,0.0,18.0,0.0,2.0,2.0,4.0,9.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,9.0
pamguard.csv,2.0,18.0,0.0,12.0,3.0,4.0,3.0,1.0,9.0,10.0,0.0,2.0,9.0,0.0,1.0,7.0,13.0,62.0,0.0,0.0
papertoolkit.csv,0.0,3.0,0.0,6.0,7.0,0.0,0.0,4.0,3.0,6.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0
prelude.csv,0.0,0.0,1.0,0.0,10.0,0.0,1.0,1.0,3.0,9.0,1.0,0.0,0.0,3.0,1.0,0.0,12.0,9.0,0.0,0.0
pustefix.csv,9.0,0.0,0.0,23.0,4.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
robocode.csv,0.0,0.0,52.0,6.0,5.0,2.0,0.0,0.0,16.0,2.0,0.0,0.0,10.0,5.0,1.0,0.0,3.0,7.0,0.0,0.0
scenemonitor.csv,0.0,2.0,0.0,12.0,3.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
tango-cs.csv,12.0,18.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,4.0,0.0,5.0,1.0,12.0,2.0,0.0
uwom-server.csv,3.0,22.0,52.0,62.0,18.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,2.0,13.0,4.0,0.0
zengine.csv,0.0,6.0,2.0,14.0,14.0,1.0,4.0,1.0,21.0,12.0,1.0,0.0,0.0,4.0,1.0,0.0,10.0,19.0,0.0,0.0
