,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,scenemonitor.csv,pustefix.csv,pamguard.csv,customsagetv.csv,clamav.csv,papertoolkit.csv,gss.csv,tango-cs.csv
checker-framework.csv,0.72,0.94,0.18,0.71,0.45,0.91,0.78,0.54,0.18,0.57,0.71,0.42,0.59,0.68,0.61,0.77,0.56,0.53,0.45,0.94
clamav.csv,0.59,0.8,0.36,0.65,0.56,0.71,0.72,0.86,0.32,0.53,0.43,0.58,0.38,0.94,0.48,0.73,0.19,0.5,0.6,0.88
customsagetv.csv,0.07,0.04,0.0,0.02,0.2,0.31,0.31,0.04,0.23,0.15,0.29,0.0,0.03,0.11,0.3,0.11,0.03,0.15,0.15,0.68
gss.csv,0.95,0.53,0.27,0.69,0.48,0.43,0.59,0.61,0.36,0.6,0.57,0.25,0.66,0.84,0.82,0.8,0.44,0.68,0.25,0.83
guineu.csv,0.24,0.35,0.0,0.02,0.12,0.3,0.19,0.43,0.18,0.16,0.14,0.25,0.06,0.05,0.12,0.11,0.0,0.13,0.05,0.39
inkscape.csv,0.74,0.42,1.0,1.0,0.12,0.08,0.22,0.68,0.66,0.58,0.29,1.0,0.94,0.39,0.97,0.8,0.94,0.7,0.6,0.51
mpqc.csv,0.31,0.1,0.0,0.0,0.35,0.24,0.16,0.43,0.5,0.24,0.43,0.42,0.28,0.61,0.12,0.09,0.14,0.23,0.15,0.41
nsis.csv,0.74,0.81,0.45,0.38,0.78,0.48,0.88,0.71,0.7,0.68,0.0,0.5,0.78,0.71,0.79,0.34,0.47,0.9,0.7,0.7
octave.csv,0.5,0.43,0.0,0.54,0.26,0.22,0.0,0.75,0.38,0.46,0.57,0.42,0.41,0.24,0.27,0.68,0.17,0.2,0.5,0.33
owfs.csv,0.84,0.81,1.0,0.27,0.56,0.59,0.78,0.86,0.95,0.88,0.57,0.42,0.84,0.65,0.73,0.5,0.42,0.7,0.8,0.8
owlib.csv,0.69,0.31,0.0,0.5,0.48,0.44,0.44,0.43,0.23,0.38,0.29,0.33,0.34,0.31,0.52,0.82,0.25,0.57,0.05,0.68
pamguard.csv,0.31,0.4,1.0,0.33,0.23,0.24,0.28,0.54,0.32,0.19,0.0,0.58,0.5,0.13,0.42,0.5,0.97,0.3,0.25,0.51
papertoolkit.csv,0.5,0.18,0.0,0.15,0.17,0.44,0.22,0.25,0.7,0.27,0.43,0.42,0.09,0.11,0.24,0.39,0.06,0.13,0.2,0.39
prelude.csv,0.98,0.92,0.18,0.77,0.83,0.92,0.88,0.93,0.7,0.85,1.0,0.5,0.78,0.97,0.97,0.84,0.92,0.7,0.8,0.93
pustefix.csv,0.45,0.67,0.09,0.58,0.22,0.7,0.5,0.46,0.27,0.26,0.29,0.17,0.28,0.26,0.39,0.36,0.11,0.28,0.3,0.81
robocode.csv,0.59,0.43,0.0,0.21,0.46,0.76,0.44,0.32,0.71,0.31,0.43,0.08,0.53,0.34,0.52,0.59,0.25,0.6,0.4,0.81
scenemonitor.csv,0.12,0.02,0.0,0.37,0.08,0.19,0.22,0.43,0.16,0.19,0.0,0.08,0.22,0.27,0.03,0.45,0.47,0.2,0.0,0.51
tango-cs.csv,0.62,0.46,0.0,0.42,0.15,0.65,0.44,0.39,0.16,0.55,0.57,0.42,0.69,0.32,0.39,0.73,0.25,0.67,0.6,0.43
uwom-server.csv,0.22,0.37,0.0,0.12,0.32,0.42,0.22,0.39,0.48,0.39,0.29,0.33,0.16,0.11,0.52,0.23,0.44,0.27,0.8,0.58
zengine.csv,1.0,0.99,0.45,0.9,0.95,0.92,0.97,1.0,0.86,0.95,1.0,0.0,0.94,0.94,1.0,0.84,0.86,0.97,0.95,0.99
