,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,scenemonitor.csv,pustefix.csv,pamguard.csv,customsagetv.csv,clamav.csv,papertoolkit.csv,gss.csv,tango-cs.csv
checker-framework.csv,0.4,0.42,0.8,0.39,0.46,0.45,0.37,0.48,0.5,0.54,0.58,0.63,0.47,0.46,0.42,0.33,0.42,0.56,0.6,0.37
clamav.csv,0.38,0.4,0.4,0.36,0.43,0.41,0.35,0.45,0.43,0.43,0.43,0.38,0.65,0.4,0.42,0.35,0.45,0.39,0.48,0.37
customsagetv.csv,0.9,0.95,0.6,0.75,0.52,0.49,0.48,0.67,0.56,0.65,0.58,0.86,0.67,0.91,0.63,0.47,0.5,0.9,0.73,0.39
gss.csv,0.28,0.42,0.38,0.32,0.39,0.42,0.31,0.34,0.38,0.38,0.38,0.4,0.31,0.38,0.3,0.3,0.38,0.34,0.37,0.31
guineu.csv,0.53,0.61,0.0,0.5,0.83,0.57,0.52,0.45,0.9,0.89,0.77,0.64,0.75,0.8,0.93,0.45,0.0,0.89,0.83,0.48
inkscape.csv,0.39,0.47,0.49,0.4,0.94,0.9,0.42,0.56,0.59,0.51,0.92,0.42,0.32,0.76,0.34,0.34,0.39,0.43,0.42,0.5
mpqc.csv,0.96,0.95,0.0,0.0,0.98,0.97,0.89,0.95,0.97,0.98,0.93,0.5,0.92,0.69,0.86,0.9,0.83,0.93,0.75,0.76
nsis.csv,0.42,0.52,0.56,0.87,0.47,0.83,0.42,0.72,0.62,0.59,0.6,0.38,0.44,0.53,0.42,0.47,0.9,0.37,0.47,0.46
octave.csv,0.44,0.58,0.8,0.58,0.54,0.81,0.93,0.45,0.96,0.62,0.61,0.41,0.52,0.68,0.8,0.4,0.62,0.92,0.6,0.68
owfs.csv,0.32,0.44,0.49,0.47,0.46,0.49,0.37,0.43,0.52,0.43,0.52,0.36,0.36,0.51,0.33,0.53,0.46,0.39,0.35,0.35
owlib.csv,0.31,0.37,0.33,0.35,0.38,0.38,0.34,0.29,0.33,0.39,0.36,0.39,0.38,0.41,0.33,0.29,0.45,0.33,0.42,0.28
pamguard.csv,0.75,0.74,0.5,0.7,0.71,0.97,0.68,0.6,0.62,0.77,0.89,0.68,0.5,0.92,0.51,0.83,0.41,0.83,0.57,0.54
papertoolkit.csv,0.51,0.86,0.0,0.89,0.86,0.53,0.56,0.64,0.73,0.58,0.54,0.41,0.8,0.92,0.89,0.65,0.75,0.91,0.91,0.43
prelude.csv,0.31,0.38,0.43,0.38,0.37,0.4,0.35,0.44,0.58,0.43,0.44,0.4,0.38,0.37,0.32,0.33,0.38,0.38,0.34,0.35
pustefix.csv,0.49,0.39,0.5,0.36,0.62,0.44,0.4,0.61,0.59,0.57,0.75,0.71,0.92,0.59,0.54,0.54,0.67,0.68,0.62,0.42
robocode.csv,0.39,0.44,0.0,0.53,0.47,0.41,0.34,0.5,0.59,0.5,0.41,0.41,0.54,0.48,0.43,0.46,0.53,0.38,0.48,0.37
scenemonitor.csv,0.87,0.88,0.0,0.52,0.93,0.85,0.71,0.35,0.62,0.71,0.88,0.67,0.48,0.6,0.88,0.72,0.4,0.77,0.73,0.42
tango-cs.csv,0.36,0.57,0.67,0.44,0.73,0.46,0.37,0.38,0.5,0.41,0.52,0.32,0.34,0.5,0.44,0.5,0.53,0.4,0.39,0.41
uwom-server.csv,0.94,0.76,0.0,0.83,0.62,0.58,0.64,0.6,0.49,0.5,0.44,0.36,0.67,0.9,0.49,0.57,0.46,0.59,0.41,0.41
zengine.csv,0.31,0.4,0.42,0.36,0.39,0.45,0.37,0.43,0.55,0.42,0.47,0.41,0.31,0.38,0.33,0.31,0.41,0.34,0.32,0.34
