,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.41,0.41,0.36,0.51,0.5,0.45,0.46,0.69,0.68,0.51,0.22,0.58,0.85,0.63,0.39,0.39,0.39
arm-webradio.csv,0.56,0.49,0.67,0.64,0.45,0.56,0.43,0.25,0.47,0.79,0.62,0.45,0.55,0.0,0.43,0.56,1.0
bwapi.csv,0.71,0.56,0.55,0.55,0.36,0.17,0.67,0.35,0.48,0.76,0.6,0.63,0.53,0.53,0.68,0.97,0.51
co-ode-owl-plugins.csv,0.38,0.63,0.0,0.16,0.71,0.27,0.0,0.95,0.64,0.35,0.07,0.38,0.31,0.71,0.62,0.35,0.79
firebreath.csv,0.58,0.65,0.66,0.55,0.63,0.97,0.48,0.44,0.71,0.58,0.4,0.13,0.44,0.36,0.54,0.45,0.34
frogatto.csv,0.42,0.58,0.77,0.5,0.68,0.62,0.56,0.37,0.54,0.56,0.29,0.63,0.45,0.93,0.97,0.45,0.49
gretl.csv,0.35,0.53,0.52,0.2,0.0,0.43,0.64,0.51,0.43,0.09,0.38,0.99,0.27,0.62,0.44,0.24,0.39
jasperreports.csv,0.45,0.0,0.2,0.18,0.0,0.09,0.12,0.68,0.09,0.45,0.0,0.02,0.02,0.97,0.0,0.01,0.0
konversation.csv,0.29,0.31,0.93,0.18,0.37,0.1,0.22,0.32,0.16,0.64,0.0,0.41,0.36,0.43,0.35,0.07,0.45
linuxsh.csv,0.41,1.0,0.72,0.49,0.5,0.42,0.48,0.19,0.62,0.67,0.52,0.42,0.36,0.26,0.5,0.38,0.3
moviesandbox.csv,0.35,0.62,0.75,0.43,0.91,0.42,0.28,0.31,0.49,0.67,0.22,0.44,0.51,0.58,0.38,0.28,0.51
ontomorphtab.csv,0.98,0.65,0.1,0.42,0.13,0.66,0.12,0.2,0.58,0.71,0.07,0.54,0.43,0.65,0.32,0.35,0.51
opengs.csv,0.41,0.31,0.7,0.64,0.7,0.38,0.17,0.26,0.98,0.51,0.14,0.47,0.37,0.66,0.48,0.18,0.61
scite-ru.csv,0.6,0.21,0.2,0.37,0.09,0.21,0.87,0.68,0.62,0.54,0.29,0.15,0.1,0.52,0.04,0.05,0.39
tokratan.csv,0.2,0.0,0.79,0.42,0.21,0.27,0.28,0.0,0.07,0.83,0.4,0.45,0.45,0.18,0.23,0.05,0.39
vrjuggler.csv,0.2,0.0,0.38,0.11,0.19,0.1,0.33,0.07,0.09,0.09,0.95,0.04,0.04,0.31,0.26,0.07,0.34
xuggle.csv,0.41,0.27,0.67,0.91,0.55,0.5,0.47,0.56,0.66,0.43,0.0,0.51,0.37,0.35,0.36,0.62,0.31
