,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.52,0.85,0.39,0.47,0.4,0.45,0.4,0.4,0.6,0.56,0.37,0.37,0.04,0.31,0.73,0.75,0.09
arm-webradio.csv,0.71,0.25,0.54,0.68,0.83,0.49,0.58,0.47,0.77,0.41,0.63,0.83,0.6,1.0,0.67,0.36,0.0
bwapi.csv,0.52,0.71,0.79,0.78,0.89,0.96,0.67,0.9,0.51,0.61,0.66,0.7,0.8,0.8,0.58,0.03,0.8
co-ode-owl-plugins.csv,0.19,0.42,0.11,0.12,0.34,0.15,0.0,0.01,0.44,0.77,0.1,0.17,0.29,0.22,0.33,0.72,0.11
firebreath.csv,0.19,0.65,0.38,0.56,0.4,0.02,0.81,0.71,0.44,0.47,0.88,0.97,0.85,0.86,0.24,0.22,0.9
frogatto.csv,0.19,0.29,0.39,0.23,0.46,0.53,0.46,0.28,0.36,0.3,0.29,0.5,0.36,0.26,0.03,0.67,0.79
gretl.csv,0.9,0.8,0.82,0.95,1.0,0.85,0.54,0.83,0.86,0.98,0.63,0.03,0.93,0.74,0.85,0.94,0.88
jasperreports.csv,0.81,0.02,0.0,0.01,0.03,0.02,0.02,0.54,0.03,0.78,0.0,0.0,0.04,0.0,0.03,0.0,0.0
konversation.csv,0.48,0.27,0.0,0.05,0.06,0.05,0.21,0.13,0.18,0.44,0.03,0.57,0.49,0.14,0.24,0.03,0.02
linuxsh.csv,0.76,0.02,0.37,0.32,0.77,0.21,0.75,0.63,0.57,0.59,0.39,0.37,0.29,0.78,0.67,0.36,0.06
moviesandbox.csv,0.19,0.62,0.23,0.23,0.0,0.32,0.06,0.45,0.31,0.31,0.24,0.2,0.47,0.16,0.12,0.19,0.03
ontomorphtab.csv,0.0,0.55,0.23,0.13,0.14,0.5,0.1,0.16,0.74,0.59,0.05,0.23,0.38,0.18,0.21,0.64,0.13
opengs.csv,0.29,0.13,0.16,0.2,0.31,0.15,0.27,0.1,0.01,0.28,0.15,0.1,0.25,0.31,0.21,0.06,0.67
scite-ru.csv,0.71,0.15,0.29,0.33,0.03,0.1,0.06,0.46,0.73,0.73,0.22,0.1,0.13,0.76,0.09,0.03,0.79
tokratan.csv,0.05,0.0,0.34,0.17,0.2,0.11,0.12,0.2,0.14,0.01,0.46,0.7,0.55,0.06,0.03,0.0,0.03
vrjuggler.csv,0.29,0.04,0.17,0.04,0.09,0.02,0.37,0.11,0.05,0.03,0.03,0.0,0.02,0.12,0.18,0.19,0.04
xuggle.csv,0.76,0.93,0.54,0.0,0.71,0.77,0.79,0.67,0.65,0.75,0.0,0.8,0.89,0.82,0.88,0.56,0.77
