,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.58,0.09,0.58,0.0,0.0,0.62,0.74,0.0,0.21,0.0,0.0,0.09,0.0
fido.csv,0.13,0.44,0.0,0.0,0.01,0.97,0.53,0.05,0.0,0.18,0.0,0.28,0.56
fleet-simulator.csv,0.73,0.5,0.7,0.5,0.45,0.38,0.57,0.51,0.36,0.97,0.38,0.61,0.81
fluent-nhibernate.csv,0.18,0.33,0.67,0.54,0.27,0.29,0.54,0.59,0.67,0.07,0.24,0.96,0.32
galaxium.csv,0.72,0.52,0.79,0.63,0.59,0.54,0.59,0.63,0.0,0.0,0.56,0.54,0.17
itext.csv,0.6,0.49,0.66,0.73,0.84,0.51,0.55,0.63,0.56,0.47,0.8,0.21,0.72
mecat.csv,0.28,0.09,0.0,0.07,0.47,0.0,0.06,0.1,0.97,0.0,0.0,0.28,0.0
mediaportal.csv,0.42,0.11,0.36,0.15,0.57,0.0,0.19,0.57,0.7,0.31,0.24,0.63,0.33
ninject.csv,0.43,0.53,0.54,0.71,0.79,0.29,0.46,0.54,0.37,0.0,0.95,0.56,0.43
smartgwt.csv,0.46,0.5,0.47,0.24,0.75,0.54,0.67,0.44,0.0,0.0,0.61,0.45,0.67
sqlpower-library.csv,0.66,0.49,0.05,0.0,0.29,0.09,0.24,0.0,0.66,0.0,0.21,0.76,0.48
stuproa-cims.csv,0.49,0.65,0.39,0.3,0.67,0.0,0.0,0.51,0.37,0.0,0.53,0.68,0.71
uface.csv,0.55,0.52,0.66,0.64,0.72,0.52,0.49,0.56,0.71,0.38,0.71,0.47,0.94
