,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.72,0.98,0.51,1.0,1.0,0.69,0.37,1.0,0.95,1.0,1.0,0.98,1.0
fido.csv,0.89,0.87,1.0,1.0,0.99,0.13,0.71,0.96,1.02,0.85,1.0,0.77,0.78
fleet-simulator.csv,0.59,0.82,0.61,0.83,0.61,0.89,0.76,0.83,0.9,0.04,0.9,0.52,0.49
fluent-nhibernate.csv,0.85,0.76,0.45,0.54,0.77,0.79,0.56,0.53,0.47,0.94,0.81,0.19,0.74
galaxium.csv,0.41,0.81,0.27,0.42,0.73,0.56,0.7,0.67,1.0,1.02,0.8,0.8,0.97
itext.csv,0.73,0.83,0.66,0.36,0.4,0.68,0.79,0.69,0.75,0.67,0.55,0.95,0.6
mecat.csv,0.76,0.93,1.0,0.94,0.58,1.0,0.95,0.93,0.13,1.0,1.01,0.77,1.0
mediaportal.csv,0.65,0.91,0.69,0.88,0.51,1.0,0.84,0.52,0.37,0.74,0.8,0.43,0.72
ninject.csv,0.89,0.67,0.78,0.48,0.43,0.78,0.62,0.68,0.74,1.22,0.2,0.68,0.66
smartgwt.csv,0.67,0.79,0.72,0.87,0.35,0.81,0.64,0.68,1.04,1.36,0.76,0.86,0.43
sqlpower-library.csv,0.41,0.83,0.99,1.0,1.0,0.98,0.95,1.0,0.72,1.11,0.95,0.57,0.67
stuproa-cims.csv,0.7,0.42,0.67,0.74,0.39,1.0,1.0,0.6,0.72,1.0,0.75,0.39,0.54
uface.csv,0.56,0.73,0.67,0.57,0.65,0.82,0.84,0.78,0.67,0.67,0.67,0.85,0.07
