,sqlpower-library.csv,stuproa-cims.csv,galaxium.csv,itext.csv,smartgwt.csv,fido.csv,bzbyte.csv,mediaportal.csv,mecat.csv,fleet-simulator.csv,ninject.csv,fluent-nhibernate.csv,uface.csv
bzbyte.csv,0.65,0.98,0.22,0.0,0.0,0.64,0.28,0.0,0.95,1.0,1.0,0.98,1.0
fido.csv,0.06,0.77,0.02,0.0,0.0,0.13,0.56,0.05,0.22,0.0,0.0,0.05,0.78
fleet-simulator.csv,0.59,0.81,0.6,0.83,0.06,0.89,0.72,0.82,0.9,0.0,0.67,0.32,0.48
fluent-nhibernate.csv,0.0,0.26,0.3,0.2,0.02,0.26,0.28,0.31,0.33,0.0,0.13,0.19,0.15
galaxium.csv,0.29,0.78,0.14,0.1,0.69,0.24,0.61,0.62,1.0,1.0,0.8,0.8,0.96
itext.csv,0.71,0.82,0.63,0.2,0.39,0.47,0.78,0.67,0.67,0.38,0.55,0.95,0.59
mecat.csv,0.06,0.05,0.0,0.0,0.03,0.0,0.0,0.02,0.13,0.0,0.15,0.05,0.04
mediaportal.csv,0.18,0.01,0.03,0.03,0.18,0.0,0.0,0.25,0.15,0.0,0.02,0.11,0.02
ninject.csv,0.82,0.47,0.74,0.4,0.4,0.22,0.22,0.52,0.32,1.0,0.2,0.54,0.26
smartgwt.csv,0.35,0.65,0.47,0.37,0.24,0.81,0.61,0.31,0.28,1.0,0.76,0.86,0.26
sqlpower-library.csv,0.18,0.75,0.99,1.0,0.9,0.98,0.94,1.0,0.72,1.0,0.95,0.57,0.41
stuproa-cims.csv,0.47,0.17,0.13,0.1,0.06,0.04,0.0,0.28,0.27,0.0,0.64,0.17,0.5
uface.csv,0.29,0.59,0.66,0.47,0.65,0.82,0.83,0.78,0.67,0.0,0.67,0.85,0.04
