,gpsmid.csv,emftriple.csv,bzbyte.csv,fluent-nhibernate.csv,xamj.csv,columba.csv
bzbyte.csv,0.75,0.08,0.87,0.11,0.0,0.0
columba.csv,0.65,0.02,0.78,0.14,0.48,0.52
emftriple.csv,0.5,0.39,0.62,0.02,0.2,0.39
fluent-nhibernate.csv,0.76,0.0,0.86,0.34,0.54,0.57
gpsmid.csv,0.87,0.02,0.79,0.26,0.44,0.4
xamj.csv,0.65,0.08,0.8,0.07,0.59,0.3
