,gpsmid.csv,emftriple.csv,bzbyte.csv,fluent-nhibernate.csv,xamj.csv,columba.csv
bzbyte.csv,0.48,0.54,0.75,0.49,0.0,0.0
columba.csv,0.7,0.11,0.57,0.75,0.6,0.64
emftriple.csv,0.17,0.97,0.11,0.07,0.25,0.26
fluent-nhibernate.csv,0.74,0.0,0.48,0.91,0.34,0.44
gpsmid.csv,0.81,0.2,0.56,0.81,0.66,0.64
xamj.csv,0.71,0.55,0.64,0.42,0.69,0.39
