,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.85,0.72,0.9,1.0,0.96,1.02,0.84,0.75,0.0,0.86,0.99,0.9,0.82,0.96,0.69
fluidium.csv,0.93,0.86,1.07,0.76,0.68,0.81,1.0,0.84,1.06,0.8,0.74,0.73,0.89,0.0,0.89
guineu.csv,0.04,0.92,0.86,0.82,0.96,1.02,0.96,0.8,1.06,0.94,0.98,0.95,0.88,0.74,0.85
inkscape.csv,0.93,0.94,0.93,0.7,0.91,0.8,0.02,0.81,0.85,0.83,0.93,0.67,0.76,0.95,0.76
mpqc.csv,0.91,0.73,0.93,0.86,0.84,0.1,0.8,0.95,1.06,0.77,0.77,1.03,0.95,0.81,0.76
nsis.csv,0.87,0.95,1.01,0.94,0.94,0.94,0.92,0.73,1.05,0.9,0.01,1.02,0.97,0.76,0.78
octave.csv,0.56,0.69,0.65,0.62,0.05,0.96,0.76,0.69,0.87,0.96,0.99,0.97,0.61,0.96,0.7
owfs.csv,0.8,0.88,0.83,0.09,0.69,0.97,0.92,0.88,0.86,0.81,0.98,0.9,0.73,1.01,0.9
owlib.csv,0.59,0.04,0.91,0.9,0.96,0.87,0.75,0.81,0.85,0.66,0.88,0.67,0.58,0.68,0.63
pamguard.csv,0.8,0.69,1.0,0.6,0.76,0.68,0.87,0.69,0.75,0.88,0.86,0.69,0.59,0.73,0.02
prelude.csv,0.9,0.83,0.0,0.8,0.95,0.76,0.83,1.02,0.75,0.77,0.9,0.86,0.9,0.73,0.65
robocode.csv,0.58,0.65,0.79,0.68,0.87,0.66,0.91,0.04,0.59,0.65,0.92,0.9,0.51,0.91,0.64
uwom-server.csv,0.71,0.87,0.98,0.91,0.8,0.96,0.6,0.8,0.81,0.12,0.98,0.88,0.76,0.73,0.78
zengine.csv,0.94,0.82,1.0,0.91,0.5,0.74,0.79,0.61,0.42,0.78,0.69,0.08,0.75,0.83,0.92
zildo.csv,0.61,0.62,0.79,0.76,0.79,0.88,0.52,0.74,0.56,0.59,0.94,0.84,0.02,0.65,0.77
