,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.66,0.95,0.66,0.64,0.53,0.66,0.63,0.7,0.0,0.59,0.61,0.67
gamestone.csv,0.97,0.0,0.84,1.0,0.93,0.94,0.97,0.97,0.9,1.01,0.85,0.87
gbif-providertoolkit.csv,0.88,0.78,0.98,0.97,0.0,1.0,0.96,0.92,0.99,0.94,0.92,0.92
heekscad.csv,0.03,0.46,0.45,0.6,0.58,0.61,0.79,0.71,0.52,0.69,0.53,0.64
igarden.csv,0.71,0.77,0.74,0.0,0.93,0.59,0.67,0.9,0.81,0.59,0.75,0.7
levent.csv,0.44,0.51,0.52,0.43,0.53,0.02,0.84,0.69,0.64,0.8,0.64,0.82
libmesh.csv,0.77,0.78,0.92,0.75,0.87,0.88,0.08,0.73,0.85,0.68,0.92,0.64
openmsx.csv,0.69,0.64,0.75,0.56,0.76,0.81,0.82,0.11,0.61,0.86,0.82,0.88
pnotepad.csv,0.56,0.65,0.68,0.85,0.86,0.52,0.81,0.79,0.78,1.0,0.02,0.89
quark.csv,0.99,1.0,0.95,0.97,1.0,1.0,0.93,1.0,0.98,0.08,1.0,0.78
tango-cs.csv,0.6,1.03,0.72,0.7,0.69,0.85,0.78,0.82,0.73,0.76,0.73,0.0
xcsoar.csv,0.43,0.7,0.05,0.68,0.53,0.66,0.84,0.74,0.64,0.73,0.53,0.74
