,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.7,0.15,0.64,0.5,0.37,0.62,0.54,0.56,1.0,0.36,0.67,0.43
gamestone.csv,0.05,1.0,0.27,0.0,0.12,0.12,0.06,0.06,0.21,0.0,0.25,0.21
gbif-providertoolkit.csv,0.21,0.19,0.03,0.06,1.0,0.0,0.07,0.14,0.02,0.09,0.15,0.14
heekscad.csv,0.98,0.37,0.66,0.52,0.33,0.64,0.34,0.43,0.67,0.33,0.69,0.48
igarden.csv,0.43,0.22,0.39,1.0,0.11,0.58,0.42,0.18,0.32,0.36,0.4,0.42
levent.csv,0.7,0.47,0.59,0.58,0.37,0.99,0.25,0.45,0.66,0.21,0.63,0.28
libmesh.csv,0.42,0.17,0.14,0.31,0.17,0.21,0.94,0.38,0.32,0.29,0.34,0.47
openmsx.csv,0.49,0.25,0.36,0.53,0.26,0.62,0.3,0.94,0.57,0.28,0.56,0.49
pnotepad.csv,0.82,0.27,0.66,0.47,0.29,0.79,0.48,0.52,0.81,0.33,0.99,0.56
quark.csv,0.03,0.0,0.1,0.06,0.0,0.0,0.13,0.0,0.05,0.96,0.0,0.31
tango-cs.csv,0.56,0.0,0.4,0.36,0.29,0.27,0.31,0.28,0.44,0.29,0.48,1.0
xcsoar.csv,0.74,0.22,0.97,0.37,0.37,0.5,0.24,0.38,0.65,0.38,0.64,0.54
