,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.7,0.48,0.28,0.47,0.5,0.87,0.0,0.09,0.32,0.24,0.56
linux-ntfs.csv,0.59,0.47,0.19,0.19,0.54,0.61,0.01,0.04,0.62,0.21,0.61
olap-navigator.csv,0.98,0.53,0.6,0.62,0.69,0.81,0.0,0.13,0.12,0.44,0.48
phonon-vlc-mplayer.csv,0.97,0.62,0.64,0.37,0.56,0.69,0.02,0.23,0.21,0.61,0.48
qgis.csv,0.92,0.68,0.39,0.0,0.67,0.62,0.01,0.13,0.2,0.37,0.46
qse.csv,0.96,0.7,0.48,1.0,0.77,0.74,0.01,0.14,0.17,0.28,0.0
rebecca-aiml.csv,0.75,0.74,0.43,0.21,0.71,0.57,0.02,0.04,0.73,0.38,0.44
roller.csv,0.82,0.53,0.29,0.19,0.5,0.85,0.01,0.08,0.28,0.27,0.43
xapian.csv,0.78,0.56,0.36,0.24,0.55,0.63,0.01,0.09,0.2,0.5,0.51
zoolib.csv,1.0,0.7,0.67,0.0,1.0,0.77,0.0,0.21,0.23,0.43,0.49
