,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.77,0.59,0.41,0.56,0.52,0.65,0.0,0.17,0.25,0.34,0.62
linux-ntfs.csv,0.5,0.51,0.27,0.2,0.57,0.65,0.02,0.07,0.62,0.32,0.68
olap-navigator.csv,0.89,0.6,0.65,0.7,0.66,0.66,0.0,0.22,0.17,0.36,0.6
phonon-vlc-mplayer.csv,0.62,0.62,0.72,0.49,0.7,0.76,0.03,0.33,0.29,0.5,0.58
qgis.csv,0.3,0.65,0.54,0.0,0.11,0.74,0.02,0.21,0.28,0.49,0.57
qse.csv,0.56,0.5,0.54,0.26,0.77,0.72,0.03,0.23,0.2,0.32,0.0
rebecca-aiml.csv,0.47,0.53,0.48,0.27,0.67,0.66,0.03,0.05,0.8,0.43,0.5
roller.csv,0.74,0.61,0.45,0.32,0.65,0.79,0.03,0.15,0.43,0.36,0.55
xapian.csv,0.7,0.6,0.5,0.35,0.63,0.74,0.02,0.16,0.31,0.57,0.65
zoolib.csv,0.76,0.59,0.65,0.0,0.25,0.77,0.0,0.33,0.22,0.3,0.58
