,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.87,0.76,0.83,0.7,0.54,0.52,0.0,0.9,0.2,0.58,0.69
linux-ntfs.csv,0.43,0.56,0.45,0.2,0.6,0.68,1.0,0.26,0.63,0.73,0.77
olap-navigator.csv,0.82,0.7,0.71,0.8,0.63,0.56,0.0,0.84,0.26,0.31,0.81
phonon-vlc-mplayer.csv,0.46,0.62,0.83,0.75,0.91,0.85,1.0,0.58,0.52,0.42,0.73
qgis.csv,0.18,0.62,0.9,0.0,0.06,0.92,1.0,0.71,0.5,0.73,0.73
qse.csv,0.39,0.39,0.62,0.15,0.77,0.71,1.0,0.68,0.22,0.38,0.0
rebecca-aiml.csv,0.34,0.42,0.55,0.4,0.63,0.8,1.0,0.1,0.87,0.5,0.58
roller.csv,0.67,0.73,0.96,1.0,0.91,0.75,1.0,0.97,0.93,0.54,0.77
xapian.csv,0.64,0.65,0.8,0.65,0.74,0.89,1.0,0.97,0.61,0.65,0.88
zoolib.csv,0.61,0.51,0.64,0.0,0.14,0.76,0.0,0.68,0.2,0.23,0.73
