,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.85,0.8,0.8,0.19,0.4,0.12,0.52,0.81,0.17,0.53,0.48
linux-ntfs.csv,0.67,0.6,0.69,0.2,0.38,0.63,0.84,0.54,0.16,0.82,0.45
olap-navigator.csv,0.04,0.6,0.17,0.12,0.21,0.2,0.32,0.54,0.74,0.11,0.79
phonon-vlc-mplayer.csv,0.04,0.36,0.17,0.3,0.53,0.57,0.5,0.18,0.82,0.08,0.72
qgis.csv,0.04,0.27,0.53,0.01,0.02,0.82,0.73,0.46,0.84,0.36,0.76
qse.csv,0.04,0.16,0.25,0.0,0.17,0.37,0.57,0.41,0.43,0.3,0.03
rebecca-aiml.csv,0.26,0.14,0.27,0.36,0.19,0.9,0.54,0.24,0.13,0.24,0.66
roller.csv,0.33,0.61,0.86,1.0,0.68,0.2,0.59,1.0,0.96,0.43,0.93
xapian.csv,0.41,0.49,0.52,0.49,0.45,0.76,0.87,0.93,0.98,0.19,0.76
zoolib.csv,0.0,0.2,0.12,0.0,0.0,0.33,0.33,0.23,0.27,0.09,0.69
