,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.44,0.49,0.51,0.72,0.55,0.57,0.0,0.52,0.24,0.55,0.65
linux-ntfs.csv,0.41,0.52,0.41,0.24,0.6,0.58,0.49,0.28,0.66,0.45,0.71
olap-navigator.csv,0.84,0.61,0.73,0.81,0.66,0.6,0.0,0.72,0.26,0.36,0.52
phonon-vlc-mplayer.csv,0.51,0.62,0.83,0.74,0.77,0.71,0.83,0.62,0.38,0.47,0.55
qgis.csv,0.21,0.64,0.76,0.0,0.07,0.5,0.65,0.67,0.35,0.71,0.52
qse.csv,0.44,0.44,0.64,0.18,0.78,0.69,0.79,0.66,0.25,0.42,0.0
rebecca-aiml.csv,0.38,0.47,0.58,0.43,0.66,0.33,0.81,0.12,0.87,0.54,0.51
roller.csv,0.67,0.62,0.44,0.0,0.66,0.76,0.78,0.0,0.17,0.55,0.26
xapian.csv,0.63,0.62,0.71,0.62,0.69,0.58,0.43,0.27,0.09,0.68,0.57
zoolib.csv,0.66,0.55,0.68,0.0,0.17,0.74,0.0,0.7,0.23,0.27,0.57
