,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.91,0.93,0.64,0.61,0.9,0.88,0.15,1.0,0.85,0.93,0.99,0.88,0.77,0.87,1.03,0.93,0.58
amygdala.csv,0.59,0.66,0.69,0.56,0.79,0.88,0.99,0.86,0.83,0.47,0.89,0.84,0.69,0.81,1.29,0.85,0.71
chrysalis.csv,0.64,0.75,0.68,0.94,0.8,1.18,0.87,0.33,0.71,0.7,0.43,0.85,0.83,0.27,0.19,0.67,0.9
cme.csv,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.86,1.0,1.0,1.0,1.0,0.91,1.0,0.98,0.91,0.02
hydrate.csv,0.52,0.64,0.72,0.68,0.65,1.04,0.83,1.0,0.74,0.52,0.78,0.56,0.57,0.59,0.57,0.46,0.78
ivef-sdk.csv,0.77,0.52,0.6,0.7,0.79,0.0,0.98,0.95,0.81,0.59,1.0,1.11,0.78,0.85,1.07,1.0,0.68
jmri.csv,0.61,0.74,0.46,0.92,0.99,0.45,0.73,0.42,0.67,0.76,0.59,0.73,0.86,1.0,1.0,0.76,0.92
jython.csv,0.75,0.67,0.61,0.9,0.91,0.77,0.97,0.18,0.64,0.75,0.79,1.04,0.85,0.66,1.0,0.79,0.96
kdenlive.csv,0.37,0.74,0.63,0.82,0.61,0.94,0.69,0.99,0.69,0.91,0.83,0.45,0.67,0.45,0.52,0.74,0.65
opentibia.csv,0.63,0.28,0.64,0.79,0.68,0.97,0.89,0.79,0.92,0.77,0.71,0.75,0.96,0.85,0.48,0.74,1.01
projectfactory.csv,0.88,0.83,0.7,0.95,0.67,0.97,0.83,1.0,0.57,0.74,0.45,0.81,0.89,0.96,1.21,0.59,0.42
runuomondains.csv,0.53,0.67,0.52,0.92,0.91,1.27,0.88,0.39,0.85,0.72,0.29,0.66,0.89,0.55,0.31,0.71,0.78
somap.csv,1.0,1.0,0.82,0.85,0.89,1.08,0.84,1.0,0.85,0.94,0.94,0.17,1.0,0.9,0.29,1.0,0.83
taverna.csv,0.73,0.69,0.8,0.86,0.37,0.99,0.56,1.02,0.65,0.6,0.55,0.6,0.92,0.72,0.67,0.73,1.05
tigermud.csv,0.88,0.9,0.77,1.01,0.66,1.17,0.92,1.12,0.91,0.85,0.64,0.49,0.45,0.53,0.6,0.76,1.04
x-ray-mule.csv,0.8,0.8,0.81,0.28,0.78,0.99,1.07,0.91,0.79,0.59,0.88,0.74,0.72,0.95,1.24,0.94,0.67
