,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.54,0.83,0.52,0.68,0.31,0.69,0.91,0.13,0.67,0.4,0.11,0.91,0.69,0.11,0.98,0.6,0.14
amygdala.csv,0.72,0.94,0.62,0.75,0.31,1.0,0.18,1.0,0.38,0.68,0.1,0.9,0.67,0.17,0.92,0.83,0.09
chrysalis.csv,0.9,0.92,0.64,0.38,0.3,0.23,0.36,0.52,0.63,0.56,0.28,0.92,0.52,0.42,1.0,0.67,0.1
cme.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.75,0.83
hydrate.csv,0.75,0.97,0.5,0.62,0.38,0.3,0.52,0.11,0.48,0.7,0.1,0.95,0.71,0.22,1.0,0.77,0.08
ivef-sdk.csv,0.67,0.93,0.54,0.68,0.3,1.0,0.27,1.0,0.48,0.71,0.0,0.86,0.58,0.12,0.97,0.0,0.11
jmri.csv,0.88,0.96,0.65,0.4,0.12,0.9,0.47,0.45,0.58,0.62,0.18,0.93,0.83,0.0,0.98,0.69,0.09
jython.csv,0.69,0.88,0.61,0.62,0.27,0.74,0.49,0.51,0.52,0.5,0.13,0.89,0.54,0.19,0.98,0.61,0.09
kdenlive.csv,0.84,0.88,0.54,0.54,0.4,0.62,0.5,0.12,0.51,0.43,0.14,0.98,0.65,0.29,1.0,0.69,0.13
opentibia.csv,0.74,0.97,0.57,0.64,0.36,0.67,0.49,0.17,0.6,0.75,0.12,1.0,0.61,0.14,1.0,0.65,0.0
projectfactory.csv,0.75,1.0,0.53,0.4,0.45,0.38,0.4,0.13,0.57,0.55,0.21,0.94,0.47,0.17,0.95,0.71,0.17
runuomondains.csv,0.89,0.97,0.59,0.38,0.19,0.29,0.39,0.39,0.42,0.52,0.4,0.96,0.47,0.36,1.0,0.64,0.08
somap.csv,0.63,0.86,0.46,0.63,0.36,0.57,0.49,0.12,0.45,0.54,0.11,1.0,0.62,0.18,1.0,0.63,0.1
taverna.csv,0.72,0.91,0.57,0.56,0.59,0.31,0.59,0.08,0.53,0.64,0.22,1.0,0.6,0.17,1.0,0.82,0.0
tigermud.csv,0.51,0.8,0.46,0.0,0.42,0.0,0.38,0.06,0.36,0.41,0.14,1.0,0.79,0.24,1.0,0.66,0.0
x-ray-mule.csv,0.63,0.94,0.44,0.86,0.29,1.0,0.0,1.0,0.48,0.71,0.33,0.92,0.83,0.07,0.94,0.67,0.12
