,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.33,0.31,0.53,0.48,0.39,0.33,0.56,0.44,0.4,0.65,0.39,0.4,0.44,0.5,0.43,0.53,0.53,0.29
betoffice.csv,0.59,0.51,0.95,0.44,0.49,0.38,0.45,0.57,0.66,0.56,0.54,0.38,0.45,0.38,0.38,0.64,0.54,0.5
bionote.csv,0.5,0.35,0.64,0.89,0.67,0.67,0.88,0.54,0.93,0.56,0.83,0.51,0.67,0.47,0.68,0.43,0.67,0.39
bnetd.csv,0.35,0.39,0.53,0.44,0.78,0.57,0.8,0.39,0.52,0.4,0.44,0.33,0.41,0.44,0.4,0.47,0.49,0.33
elvishrayrenderer.csv,0.4,0.47,0.0,0.34,0.42,0.58,0.88,0.67,0.99,0.52,0.83,0.38,0.52,0.37,0.44,0.45,0.48,0.41
emisview.csv,0.56,0.0,0.75,0.73,0.52,0.52,0.88,0.86,0.66,0.0,0.59,0.52,0.72,0.47,0.75,0.92,0.54,0.0
findbugs.csv,0.37,0.33,0.55,0.64,0.41,0.33,0.52,0.47,0.6,0.92,0.43,0.46,0.45,0.43,0.58,0.75,0.47,0.33
hazelcast.csv,0.27,0.31,0.41,0.33,0.33,0.28,0.35,0.38,0.34,0.4,0.42,0.3,0.36,0.3,0.28,0.31,0.38,0.32
jitterbit.csv,0.33,0.36,0.64,0.5,0.38,0.45,0.61,0.89,0.59,0.93,0.44,0.57,0.43,0.39,0.42,0.51,0.43,0.44
jppf-project.csv,0.44,0.72,0.63,0.86,0.52,0.45,0.45,0.43,0.46,0.8,0.64,0.42,0.68,0.56,0.41,0.5,0.58,0.59
kolmafia.csv,0.33,0.32,0.53,0.33,0.36,0.3,0.4,0.39,0.36,0.35,0.37,0.31,0.36,0.35,0.31,0.46,0.41,0.28
megasquirtavr.csv,0.34,0.39,0.64,0.5,0.41,0.3,0.45,0.46,0.59,0.59,0.42,0.36,0.38,0.48,0.4,0.5,0.51,0.44
qedo.csv,0.86,0.71,0.97,0.67,0.83,0.86,0.71,0.87,0.74,0.61,0.92,0.77,0.74,0.85,0.93,0.75,0.92,0.92
stajistics.csv,0.35,0.4,0.0,0.39,0.41,0.31,0.82,0.58,0.51,0.56,0.53,0.33,0.42,0.35,0.35,0.74,0.49,0.36
trackit.csv,0.52,0.79,0.7,0.9,0.89,0.89,0.53,0.76,0.74,0.8,0.56,0.77,0.0,0.92,0.88,0.57,0.78,0.65
wxlua.csv,0.56,0.43,0.5,0.39,0.81,0.67,0.6,0.75,0.68,0.51,0.4,0.42,0.43,0.48,0.9,0.54,0.82,0.49
x4x.csv,0.49,0.68,0.62,0.63,0.62,0.94,0.5,0.56,0.52,0.62,0.48,0.45,0.62,0.42,0.51,0.52,0.7,0.41
xharbour.csv,0.34,0.36,0.55,0.51,0.43,0.36,0.51,0.49,0.48,0.62,0.44,0.54,0.55,0.37,0.36,0.57,0.49,0.41
