,wpdev.csv,mb-unit.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,unicase.csv,mecat.csv
gwanted.csv,0.62,0.76,0.69,0.34,0.9,0.68,0.6
java-gnome.csv,0.88,0.79,0.91,0.63,0.28,0.84,0.72
mb-unit.csv,0.5,0.57,0.61,0.63,0.49,0.81,0.9
mecat.csv,0.64,0.92,0.94,0.72,0.95,0.69,0.1
rodin-b-sharp.csv,1.09,0.77,0.23,0.78,0.46,0.64,1.04
unicase.csv,0.12,0.92,0.75,0.58,0.88,0.47,0.9
wpdev.csv,0.01,0.99,1.0,0.94,1.0,0.99,0.92
