,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,projecteqemu.csv,kftpgrabber.csv
boost.csv,0.43,0.46,0.62,0.53,0.43,0.58,0.39,0.44
etics.csv,0.47,0.48,0.93,0.65,0.43,0.75,0.42,0.45
genecys.csv,0.45,0.44,0.44,0.52,0.53,0.5,0.61,0.49
kftpgrabber.csv,0.0,0.44,0.8,0.74,0.38,0.98,0.43,0.42
kvs.csv,0.53,0.93,0.62,0.64,0.5,0.51,0.6,0.89
mcore3d.csv,0.8,0.43,0.43,0.62,0.43,0.97,0.45,0.45
ogrehg.csv,0.61,0.45,0.62,0.55,0.42,0.59,0.43,0.48
projecteqemu.csv,0.56,0.63,0.75,0.6,0.35,0.69,0.47,0.52
