,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,0.72,0.52,0.29,0.19,0.33,0.34,0.61,0.3,0.02,0.0,0.52,0.69,0.51,0.52,0.37,0.61,0.36,0.58,0.34
all-plasm.csv,0.63,0.07,0.24,0.12,0.03,0.16,0.37,0.32,0.01,0.12,0.7,0.38,0.42,0.32,0.61,0.36,0.56,0.07,0.47
awemud.csv,0.72,0.64,0.3,0.15,0.61,0.19,0.59,0.33,0.01,0.1,0.35,0.15,0.44,0.41,0.41,0.52,0.61,0.38,0.15
buddata-ebxml-registry.csv,0.83,0.78,0.38,0.47,0.89,0.86,0.55,0.3,0.01,0.16,0.57,0.5,0.49,0.75,0.76,0.64,0.95,0.59,0.61
bullet.csv,0.72,0.63,0.26,0.57,0.44,0.81,0.47,0.24,0.03,0.17,0.41,0.32,0.42,0.55,0.72,0.31,0.51,0.51,0.53
dvd-create.csv,0.64,0.76,0.33,0.26,0.88,0.71,0.52,0.36,0.01,0.15,0.54,0.39,0.4,0.55,0.72,0.6,0.6,0.56,0.65
gbif-indexingtoolkit.csv,0.68,0.46,0.39,0.38,0.57,0.2,0.4,0.37,0.0,0.1,0.63,0.48,0.31,0.41,0.48,0.49,0.34,0.42,0.0
go.csv,0.84,0.8,0.47,0.21,0.73,0.55,0.57,0.26,0.01,0.12,0.64,0.53,0.47,0.66,0.64,0.59,0.8,0.56,0.66
gss.csv,0.8,0.76,0.41,0.72,0.86,0.83,0.57,0.28,0.01,0.14,0.56,0.51,0.46,0.74,0.79,0.62,0.86,0.62,0.62
jmule.csv,0.82,0.75,0.49,0.29,0.73,0.5,0.56,0.25,0.0,0.19,0.64,0.59,0.46,0.63,0.61,0.6,0.77,0.51,0.81
kwave.csv,0.81,0.78,0.54,0.4,0.89,0.68,0.55,0.31,0.01,0.1,0.54,0.47,0.47,0.75,0.71,0.61,0.88,0.59,0.65
libarchive.csv,0.82,0.8,0.32,0.43,0.68,0.81,0.56,0.26,0.01,0.16,0.58,0.49,0.48,0.77,0.67,0.63,0.94,0.66,0.61
linux-ntfs.csv,0.7,0.62,0.27,0.63,0.82,0.79,0.38,0.32,0.02,0.14,0.41,0.48,0.48,0.62,0.75,0.64,0.63,0.57,0.6
lsb.csv,0.71,0.54,0.21,0.65,0.84,0.67,0.41,0.32,0.0,0.23,0.51,0.57,0.32,0.44,0.7,0.54,0.37,0.49,0.36
mp-rechnungs-und-kundenverwaltung.csv,0.5,0.24,0.22,0.2,0.03,0.58,0.54,0.22,0.02,0.0,0.48,0.64,0.57,0.66,0.63,0.61,0.44,0.5,0.53
qcad2.csv,0.6,0.49,0.44,0.24,0.48,0.47,0.65,0.29,0.01,0.19,0.61,0.64,0.47,0.72,0.68,0.59,0.65,0.67,0.5
qtwin.csv,0.16,0.0,0.0,0.0,0.0,0.08,0.15,0.26,0.05,0.0,0.39,0.2,0.2,0.43,0.28,0.48,0.32,0.0,0.45
stemkit.csv,0.17,0.51,0.27,0.54,0.34,0.48,0.0,0.21,0.02,0.32,0.56,0.54,0.22,0.37,0.58,0.47,0.38,0.42,0.21
xinity.csv,0.48,0.74,0.36,0.24,0.81,0.52,0.32,0.19,0.0,0.06,0.47,0.42,0.42,0.75,0.7,0.43,0.68,0.51,0.51
