,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,0.26,0.54,0.27,0.68,0.48,0.57,1.0,0.68,0.65,0.77,0.5,0.77,0.87,0.37,0.0,0.37
beast-mcmc.csv,0.54,0.55,0.25,0.64,0.63,0.58,0.36,0.61,0.33,0.61,0.62,0.9,0.91,0.38,0.35,0.44
bigdata.csv,0.43,0.55,0.29,0.71,0.65,0.53,0.39,0.56,0.25,0.63,0.54,0.9,0.92,0.65,0.25,0.38
cuberok.csv,0.38,0.53,0.14,0.55,0.52,0.46,0.56,0.4,0.32,0.58,0.42,0.71,0.88,0.7,0.3,0.38
exist.csv,0.39,0.49,0.32,0.74,0.51,0.54,0.44,0.62,0.24,0.79,0.53,0.85,0.96,0.48,0.33,0.38
icescrum.csv,0.48,0.63,0.28,0.82,0.56,0.64,0.5,0.67,0.33,0.69,0.8,0.86,0.92,0.32,0.27,0.68
jbasic.csv,0.32,0.49,0.2,0.69,0.52,0.54,0.46,0.66,0.3,0.58,0.38,0.77,0.95,0.38,0.29,0.41
jrefactory.csv,0.23,0.67,0.16,0.51,0.44,0.43,0.39,0.44,0.26,0.71,0.57,0.77,0.85,0.55,0.31,0.33
jsecurity.csv,0.4,0.42,0.41,0.73,0.53,0.59,0.32,0.57,0.4,0.68,0.6,0.92,0.92,0.27,0.3,0.5
libopenmetaverse.csv,0.27,0.58,0.19,0.65,0.67,0.51,0.35,0.49,0.35,0.57,0.54,0.75,0.88,0.54,0.22,0.38
mobicents.csv,0.35,0.5,0.34,0.87,0.42,0.69,0.43,0.57,0.38,0.61,0.56,0.8,0.91,0.56,0.31,0.38
opendvr.csv,0.47,0.43,0.39,0.81,0.48,0.69,0.44,0.57,0.35,0.59,1.0,0.85,0.95,0.56,0.48,0.56
power-architect.csv,0.34,0.54,0.28,0.71,0.5,0.54,0.4,0.4,0.34,0.57,0.56,0.95,0.89,0.67,0.29,0.35
sidekar.csv,0.0,0.0,0.0,0.86,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0
wheat.csv,0.37,0.38,0.33,0.75,0.46,0.59,0.42,0.57,0.38,0.59,0.75,0.84,0.89,0.36,0.29,0.47
wsmt.csv,0.36,0.67,0.15,1.0,0.5,0.47,0.75,0.69,0.09,0.29,0.8,0.75,0.9,0.87,0.32,0.0
