,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.29,0.2,0.02,0.47,0.54,0.22,0.31,0.04,0.16,0.16,0.5,0.57,0.51,0.49
exordium.csv,0.25,0.1,0.13,0.01,0.0,0.46,0.04,0.41,0.38,0.53,0.1,0.09,0.02,0.14
google-caja.csv,0.42,0.28,0.24,0.36,0.41,0.46,0.29,0.0,0.86,0.32,0.21,0.48,0.36,0.37
hydrogen.csv,0.17,0.05,0.09,0.07,0.02,0.07,0.0,0.19,0.05,0.12,0.13,0.13,0.0,0.08
kmess.csv,0.38,0.18,0.23,0.39,0.48,0.39,0.36,0.22,0.38,0.25,0.27,0.59,0.02,0.53
kvs.csv,0.21,0.0,0.39,0.0,0.0,0.22,0.05,0.22,0.06,0.34,0.13,0.35,0.24,0.09
megameknet.csv,0.5,0.65,0.41,0.34,0.18,0.57,0.21,0.41,0.08,0.0,0.73,0.37,0.53,0.13
ns-3-dev-def-routing.csv,0.21,0.08,0.18,0.25,0.11,0.09,0.3,0.19,0.21,0.18,0.26,0.01,0.4,0.14
open-ms.csv,0.38,0.02,0.56,0.26,0.21,0.8,0.43,0.63,0.51,0.85,0.54,0.09,0.51,0.0
openmsx.csv,0.54,0.22,0.38,0.95,0.7,0.54,0.93,0.67,0.57,0.75,0.0,0.93,0.58,0.53
rezilla.csv,0.79,0.0,0.7,0.71,0.55,0.96,0.6,0.81,0.71,0.58,0.71,0.8,0.93,0.6
sauerbraten.csv,0.0,0.62,0.09,0.14,0.3,0.17,0.23,0.04,0.09,0.08,0.14,0.39,0.25,0.26
webdriver.csv,0.46,0.05,0.17,0.18,0.2,0.0,0.25,0.04,0.11,0.23,0.06,0.31,0.33,0.15
yafdotnet.csv,0.75,0.1,0.56,0.71,0.25,0.39,0.41,0.41,0.0,0.42,0.6,0.55,0.67,0.54
