,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.54,0.36,0.96,0.62,0.51,0.51,0.53,0.41,0.39,0.52,0.4,0.52,0.57,0.56
exordium.csv,0.12,0.25,0.27,0.18,1.0,0.36,0.49,0.48,0.43,0.58,0.13,0.28,0.15,0.31
google-caja.csv,0.56,0.46,0.56,0.34,0.66,0.56,0.74,0.99,0.43,0.59,0.29,0.59,0.66,0.64
hydrogen.csv,0.49,0.13,0.23,0.18,0.25,0.34,0.95,0.21,0.2,0.41,0.14,0.27,0.22,0.19
kmess.csv,0.62,0.19,0.45,0.52,0.6,0.67,0.57,0.53,0.58,0.67,0.36,0.58,0.97,0.59
kvs.csv,0.1,0.13,0.37,0.92,0.0,0.23,0.23,0.31,0.11,0.36,0.06,0.3,0.14,0.15
megameknet.csv,0.45,0.48,0.38,0.39,0.36,0.51,0.14,0.4,0.36,0.92,0.54,0.36,0.33,0.21
ns-3-dev-def-routing.csv,0.12,0.0,0.31,0.23,0.52,0.36,0.63,0.22,0.22,0.29,0.3,0.98,0.45,0.28
open-ms.csv,0.55,0.13,0.58,0.23,0.25,0.46,0.22,0.56,0.52,0.4,0.46,0.25,0.51,0.93
openmsx.csv,0.71,0.19,0.55,0.2,0.64,0.72,0.27,0.52,0.45,0.48,0.98,0.27,0.64,0.52
rezilla.csv,0.53,0.91,0.57,0.57,0.62,0.17,0.64,0.52,0.65,0.68,0.57,0.49,0.26,0.68
sauerbraten.csv,0.98,0.49,0.24,0.24,0.56,0.35,0.35,0.12,0.24,0.35,0.21,0.47,0.45,0.33
webdriver.csv,0.78,0.06,0.34,0.29,0.7,0.98,0.64,0.33,0.28,0.45,0.2,0.49,0.57,0.45
yafdotnet.csv,0.55,0.3,0.63,0.59,0.51,0.67,0.71,0.7,0.98,0.65,0.58,0.58,0.6,0.65
