,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.27,0.33,0.37,0.38,0.16,0.0,0.1,0.13,0.11,0.14,0.31
bdbbasic.csv,0.36,0.14,0.44,0.41,0.41,0.42,0.0,0.39,0.32,0.21,0.47
bibletime.csv,0.72,0.79,0.79,0.38,0.62,0.74,0.59,0.71,0.51,0.0,0.95
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
etherboot.csv,0.47,0.42,0.29,0.12,0.0,0.4,0.24,0.33,0.24,0.57,0.14
gnukeda.csv,0.56,0.58,0.45,0.03,0.66,0.85,0.24,0.57,0.46,0.57,0.58
google-gears.csv,0.77,0.77,0.39,0.44,0.66,0.74,0.73,0.75,0.03,0.5,0.66
jnode.csv,0.03,0.03,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.07,0.03
openmeetings.csv,0.35,0.0,0.52,0.28,0.59,0.57,0.27,0.57,0.38,0.57,0.31
pgui.csv,0.19,0.72,0.12,0.25,0.16,0.21,0.12,0.0,0.24,0.14,0.1
wxcrp.csv,0.0,0.14,0.4,0.03,0.16,0.19,0.04,0.19,0.16,0.0,0.66
