,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.73,0.4,0.62,0.68,0.61,0.05,0.74,0.74,0.77,0.8,0.46
bdbbasic.csv,0.51,0.35,0.54,0.7,0.65,0.49,0.05,0.56,0.52,0.56,0.57
bibletime.csv,0.74,0.79,0.81,0.52,0.7,0.74,0.6,0.73,0.62,0.02,0.95
crux-framework.csv,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98,0.0
etherboot.csv,0.77,0.88,0.69,0.8,0.0,0.88,0.63,0.7,0.7,0.84,0.36
gnukeda.csv,0.63,0.62,0.55,0.04,0.67,0.85,0.49,0.71,0.59,0.73,0.67
google-gears.csv,0.78,0.8,0.54,0.58,0.67,1.0,0.75,0.83,0.03,0.57,0.74
jnode.csv,0.97,0.96,0.12,0.97,1.0,1.0,0.95,1.0,0.97,1.0,1.0
openmeetings.csv,0.57,0.05,0.56,0.61,0.74,0.64,0.5,0.66,0.64,0.8,0.74
pgui.csv,0.83,0.93,0.88,0.64,0.92,0.81,0.7,0.04,0.84,0.7,1.01
wxcrp.csv,0.0,0.56,0.51,0.8,0.88,0.52,0.69,0.54,0.77,0.86,0.74
