,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.63,0.52,0.58,0.79,0.74,0.66,0.9,0.97,0.81,0.94,0.47
bdbbasic.csv,0.43,0.65,0.38,0.4,0.5,0.4,0.61,0.46,0.46,0.49,0.36
bibletime.csv,0.47,0.39,0.4,0.51,0.49,0.46,0.43,0.4,0.53,0.38,0.42
crux-framework.csv,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
etherboot.csv,0.68,0.72,0.74,0.92,0.82,0.97,0.8,0.74,0.88,0.73,0.94
gnukeda.csv,0.5,0.44,0.52,0.59,0.47,0.5,0.61,0.53,0.56,0.55,0.51
google-gears.csv,0.45,0.43,0.52,0.42,0.44,0.76,0.42,0.5,0.49,0.4,0.46
jnode.csv,0.67,0.8,0.93,0.0,0.67,0.0,0.0,0.0,0.75,0.0,0.67
openmeetings.csv,0.53,0.95,0.46,0.7,0.52,0.47,0.62,0.51,0.55,0.57,0.54
pgui.csv,0.95,0.54,0.98,0.71,0.92,0.56,0.92,0.73,0.88,0.74,0.91
wxcrp.csv,0.65,0.86,0.71,0.78,0.69,0.47,0.88,0.63,0.71,0.89,0.54
