,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.32,0.77,0.5,0.44,0.41,0.95,0.26,0.28,0.24,0.21,0.67
bdbbasic.csv,0.65,0.68,0.69,0.44,0.5,0.76,0.95,0.6,0.59,0.48,0.67
bibletime.csv,0.84,0.95,0.81,0.64,0.68,0.92,0.89,0.85,0.65,0.98,1.0
crux-framework.csv,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,1.0
etherboot.csv,0.39,0.23,0.38,0.21,1.0,0.22,0.42,0.38,0.34,0.38,0.67
gnukeda.csv,0.71,0.77,0.69,0.97,0.86,0.92,0.58,0.57,0.63,0.55,0.67
google-gears.csv,0.94,0.77,0.62,0.62,0.86,0.32,0.84,0.66,0.99,0.73,0.67
jnode.csv,0.03,0.05,0.88,0.03,0.0,0.0,0.05,0.0,0.03,0.0,0.0
openmeetings.csv,0.55,0.95,0.81,0.46,0.55,0.73,0.58,0.66,0.49,0.44,0.33
pgui.csv,0.19,0.41,0.12,0.41,0.09,0.22,0.32,0.96,0.2,0.32,0.0
wxcrp.csv,1.0,0.45,0.69,0.21,0.14,0.51,0.32,0.49,0.25,0.14,0.67
