,umber.csv,ivatamasks.csv,jaxen.csv,tcl.csv,cuberok.csv,ivataopenportal.csv,rodin-b-sharp.csv,gwanted.csv,exist.csv,wheat.csv,google-web-toolkit.csv,codepurge.csv,rockbox.csv
codepurge.csv,0.89,0.6,0.47,0.6,0.68,0.76,0.85,0.79,0.61,0.74,0.69,0.42,0.72
cuberok.csv,1.13,0.57,0.95,0.91,0.39,0.74,0.79,0.7,0.78,0.88,0.69,0.69,0.81
exist.csv,0.96,0.56,0.5,0.69,0.67,0.6,0.85,0.81,0.34,0.78,0.68,0.72,0.53
google-web-toolkit.csv,0.98,0.79,0.54,0.82,0.66,0.74,0.99,0.59,0.57,0.76,0.47,0.88,0.51
gwanted.csv,0.53,0.55,0.6,0.59,0.61,0.69,0.71,0.38,0.59,0.73,0.62,0.73,0.5
ivatamasks.csv,0.91,0.43,0.71,0.52,0.94,0.73,0.9,0.51,0.66,0.96,0.69,0.97,0.6
ivataopenportal.csv,0.81,0.68,0.76,0.98,1.0,0.39,0.88,0.84,0.69,0.92,0.79,1.0,1.0
jaxen.csv,0.82,0.7,0.1,0.83,0.96,0.91,0.84,0.79,0.66,0.49,0.74,0.92,0.67
rockbox.csv,0.56,0.78,0.32,0.9,0.62,0.88,0.96,0.65,0.89,0.74,0.72,0.47,0.43
rodin-b-sharp.csv,0.47,0.81,1.0,0.93,0.78,0.9,0.21,0.76,0.66,0.67,0.87,0.83,0.73
tcl.csv,1.1,0.94,0.8,0.52,0.9,0.97,0.58,0.71,0.83,0.76,0.8,0.83,0.85
umber.csv,0.14,0.65,0.5,1.0,0.83,0.64,0.8,0.92,0.79,1.0,0.83,0.96,0.85
wheat.csv,0.83,0.83,0.87,1.0,0.64,0.76,0.73,0.93,0.87,0.44,0.79,0.57,0.52
