,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.5,0.69,0.64,0.75,0.59,0.38,0.0,0.09,0.71,0.54,0.61,0.67,0.59,0.65,0.0,0.71,0.61,0.0,0.34,0.38
arcallians.csv,0.6,0.65,0.65,0.84,0.78,0.05,0.05,0.57,0.59,0.53,0.5,0.37,0.6,0.65,0.51,0.66,0.47,0.63,0.75,0.25
arianne.csv,0.71,0.3,0.0,0.42,0.0,0.72,0.2,0.0,0.61,0.24,0.0,0.0,0.13,0.24,0.05,0.61,0.09,0.55,0.5,0.62
aztec.csv,0.26,0.56,0.21,0.4,0.67,0.79,0.46,0.66,0.5,0.56,0.62,0.5,0.25,0.53,0.49,0.29,0.66,0.66,0.62,0.51
biopax.csv,0.65,0.67,0.49,0.76,0.76,0.39,0.17,0.0,0.42,0.44,0.78,0.56,0.13,0.6,0.0,0.8,0.0,0.57,0.63,0.7
bl-toolkit.csv,0.54,0.25,0.74,0.43,0.0,0.13,0.64,0.0,0.55,0.0,0.0,0.0,0.49,0.45,0.0,0.38,0.64,0.6,0.09,0.44
clamav.csv,0.55,0.62,0.39,0.51,0.55,0.38,0.62,0.56,0.66,0.72,0.58,0.63,0.64,0.59,0.58,0.39,0.54,0.65,0.41,0.57
crux-framework.csv,0.35,0.22,0.24,0.25,0.31,0.37,0.15,0.36,0.19,0.52,0.48,0.64,0.23,0.38,0.5,0.05,0.98,0.26,0.18,0.29
gnupdate.csv,0.54,0.45,0.15,0.61,0.5,0.24,0.29,0.15,0.56,0.43,0.81,0.54,0.58,0.48,0.17,0.42,0.64,0.6,0.59,0.0
jmule.csv,0.63,0.61,0.7,0.85,0.73,0.65,0.29,0.05,0.51,0.58,0.8,0.61,0.7,0.69,0.0,0.66,0.43,0.57,0.75,0.84
mbse.csv,0.41,0.44,0.17,0.16,0.44,0.33,0.62,0.66,0.65,0.54,0.46,0.63,0.65,0.5,0.46,0.17,0.66,0.58,0.51,0.0
mplayer-ce.csv,0.67,0.62,0.65,0.5,0.3,0.42,0.09,0.61,0.45,0.29,0.69,0.64,0.58,0.45,0.58,0.68,0.24,0.13,0.55,0.64
ng4j.csv,0.46,0.61,0.55,0.85,0.66,0.29,0.4,0.59,0.64,0.35,0.8,0.45,0.69,0.66,0.54,0.5,0.77,0.61,0.7,0.1
ns-3-dev-def-routing.csv,0.56,0.54,0.7,0.65,0.7,0.72,0.4,0.05,0.63,0.59,0.59,0.54,0.6,0.59,0.24,0.69,0.54,0.6,0.57,0.15
openxava.csv,0.38,0.47,0.15,0.05,0.17,0.32,0.77,0.35,0.52,0.67,0.42,0.59,0.42,0.36,0.36,0.1,0.67,0.32,0.39,0.62
phonon-vlc-mplayer.csv,0.39,0.57,0.7,0.79,0.53,0.25,0.47,0.59,0.58,0.4,0.74,0.45,0.66,0.62,0.58,0.58,0.83,0.59,0.59,0.05
qgis.csv,0.42,0.64,0.21,0.76,0.41,0.05,0.21,0.0,0.64,0.18,0.0,0.0,0.51,0.59,0.0,0.72,0.62,0.54,0.53,0.0
vars-redux.csv,0.49,0.59,0.66,0.51,0.39,0.05,0.3,0.21,0.76,0.74,0.5,0.58,0.56,0.54,0.48,0.6,0.37,0.65,0.59,0.43
xamj.csv,0.56,0.43,0.5,0.39,0.58,0.31,0.52,0.13,0.58,0.6,0.42,0.53,0.58,0.49,0.38,0.39,0.59,0.69,0.4,0.13
yafdotnet.csv,0.57,0.59,0.24,0.48,0.57,0.44,0.61,0.51,0.46,0.29,0.55,0.51,0.72,0.57,0.41,0.36,0.62,0.72,0.57,0.44
