,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.52,0.68,0.73,0.58,0.62,0.2,0.2,0.4,0.67,0.54,0.36,0.72,0.55,0.59,0.62,0.79,0.07,0.46,0.34,0.44
arcallians.csv,0.59,0.63,0.78,0.63,0.78,0.14,0.2,0.42,0.53,0.48,0.45,0.43,0.59,0.57,0.5,0.88,0.06,0.52,0.52,0.31
arianne.csv,0.71,0.65,0.82,0.44,0.68,0.2,0.17,0.4,0.62,0.52,0.32,0.77,0.58,0.55,0.62,0.82,0.05,0.48,0.43,0.62
aztec.csv,0.3,0.55,0.3,0.46,0.67,0.38,0.18,0.46,0.48,0.48,0.44,0.57,0.31,0.51,0.57,0.38,0.09,0.56,0.48,0.58
biopax.csv,0.67,0.67,0.77,0.54,0.74,0.1,0.19,0.4,0.6,0.4,0.47,0.61,0.57,0.58,0.62,0.86,0.05,0.46,0.46,0.67
bl-toolkit.csv,0.6,0.53,0.8,0.29,0.69,0.13,0.24,0.4,0.61,0.53,0.32,0.77,0.59,0.39,0.62,0.49,0.07,0.46,0.39,0.64
clamav.csv,0.55,0.61,0.48,0.34,0.61,0.09,0.22,0.44,0.62,0.68,0.33,0.69,0.58,0.51,0.55,0.49,0.06,0.49,0.26,0.63
crux-framework.csv,0.41,0.26,0.32,0.21,0.35,0.12,0.21,0.37,0.25,0.47,0.27,0.72,0.28,0.38,0.57,0.08,0.38,0.3,0.17,0.36
gnupdate.csv,0.54,0.56,0.21,0.42,0.63,0.14,0.12,0.2,0.61,0.35,0.63,0.6,0.59,0.43,0.22,0.53,0.07,0.48,0.39,0.62
jmule.csv,0.62,0.63,0.76,0.69,0.72,0.33,0.18,0.4,0.62,0.54,0.47,0.66,0.63,0.61,0.62,0.75,0.06,0.51,0.59,0.83
mbse.csv,0.42,0.44,0.24,0.1,0.51,0.08,0.27,0.52,0.59,0.46,0.25,0.69,0.59,0.44,0.45,0.24,0.09,0.47,0.35,0.61
mplayer-ce.csv,0.66,0.67,0.72,0.44,0.66,0.09,0.19,0.46,0.6,0.36,0.39,0.75,0.52,0.55,0.57,0.82,0.06,0.46,0.4,0.63
ng4j.csv,0.5,0.61,0.63,0.72,0.67,0.28,0.14,0.46,0.58,0.4,0.62,0.52,0.62,0.58,0.51,0.61,0.08,0.51,0.55,0.14
ns-3-dev-def-routing.csv,0.57,0.54,0.77,0.58,0.72,0.21,0.13,0.4,0.58,0.5,0.31,0.65,0.54,0.56,0.61,0.77,0.06,0.45,0.37,0.21
openxava.csv,0.42,0.5,0.21,0.05,0.22,0.08,0.34,0.32,0.51,0.56,0.24,0.66,0.45,0.39,0.38,0.15,0.1,0.36,0.31,0.62
phonon-vlc-mplayer.csv,0.47,0.59,0.76,0.69,0.6,0.22,0.15,0.45,0.59,0.44,0.51,0.52,0.6,0.56,0.55,0.69,0.1,0.52,0.51,0.08
qgis.csv,0.44,0.66,0.27,0.54,0.48,0.06,0.19,0.0,0.59,0.24,0.0,0.0,0.46,0.53,0.01,0.8,0.06,0.4,0.42,0.0
vars-redux.csv,0.52,0.63,0.73,0.5,0.45,0.06,0.21,0.4,0.7,0.62,0.26,0.63,0.54,0.5,0.59,0.7,0.05,0.52,0.55,0.51
xamj.csv,0.66,0.52,0.79,0.25,0.62,0.12,0.21,0.4,0.57,0.51,0.21,0.66,0.55,0.48,0.4,0.49,0.06,0.61,0.33,0.61
yafdotnet.csv,0.57,0.58,0.33,0.34,0.58,0.1,0.24,0.48,0.58,0.33,0.5,0.58,0.68,0.49,0.42,0.46,0.07,0.61,0.42,0.64
