,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,2.0,8.0,0.0,1.0,3.0,0.0,1.0,5.0,2.0,0.0,0.0,58.0,11.0,5.0,1.0,0.0,0.0
bionote.csv,0.0,0.0,0.0,2.0,1.0,0.0,0.0,132.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bullet.csv,5.0,10.0,0.0,0.0,4.0,3.0,0.0,24.0,0.0,1.0,0.0,12.0,19.0,1.0,3.0,0.0,0.0
dxengine.csv,2.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,58.0,1.0,2.0,10.0,0.0,0.0
emono.csv,3.0,20.0,0.0,1.0,6.0,2.0,1.0,12.0,0.0,0.0,2.0,0.0,4.0,3.0,3.0,0.0,0.0
findbugs.csv,0.0,13.0,2.0,0.0,4.0,3.0,2.0,7.0,0.0,0.0,9.0,0.0,10.0,1.0,0.0,0.0,0.0
hazelcast.csv,1.0,34.0,0.0,0.0,5.0,0.0,2.0,7.0,1.0,0.0,6.0,0.0,22.0,2.0,1.0,0.0,0.0
jedit.csv,0.0,10.0,2.0,3.0,10.0,0.0,0.0,28.0,9.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0
jmonkeyengine.csv,5.0,2.0,0.0,2.0,5.0,0.0,3.0,3.0,0.0,0.0,10.0,8.0,5.0,2.0,2.0,0.0,0.0
kolmafia.csv,5.0,13.0,0.0,1.0,3.0,0.0,2.0,21.0,0.0,0.0,11.0,0.0,7.0,0.0,4.0,0.0,1.0
lamp.csv,0.0,0.0,1.0,2.0,77.0,0.0,0.0,2.0,3.0,0.0,82.0,58.0,6.0,3.0,3.0,0.0,2.0
lcfizvtop.csv,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,17.0,0.0,1.0,2.0,3.0,0.0,1.0
onotoa.csv,10.0,16.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,6.0,14.0,3.0,0.0,1.0,0.0
openintents.csv,0.0,11.0,0.0,0.0,15.0,0.0,0.0,10.0,1.0,0.0,5.0,0.0,8.0,4.0,0.0,0.0,0.0
qlc.csv,0.0,18.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,82.0,1.0,1.0,2.0,0.0,0.0,1.0
triplea.csv,1.0,13.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,8.0,8.0,1.0,0.0,0.0,0.0
