,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,0.51,0.17,0.65,0.5,0.44,1.0,0.91,0.23,0.18,0.89,1.0,0.0,0.13,0.58,0.35,1.0,0.78
bionote.csv,0.78,1.0,1.0,0.25,0.33,1.0,0.67,0.0,0.42,0.86,0.5,0.33,0.89,1.0,0.5,1.0,1.0
bullet.csv,0.56,0.1,0.58,0.44,0.32,0.91,1.0,0.13,0.27,0.84,0.37,0.24,0.11,0.6,0.34,1.0,0.65
dxengine.csv,0.76,0.22,0.73,0.5,1.0,1.0,0.94,0.21,0.42,0.85,0.33,0.0,0.21,0.61,0.32,1.0,0.79
emono.csv,0.64,0.08,0.59,0.54,0.27,0.81,0.83,0.16,0.32,0.76,0.54,1.0,0.12,0.45,0.3,1.0,1.0
findbugs.csv,0.46,0.12,0.8,0.33,0.26,0.81,0.72,0.14,0.2,0.85,0.26,0.16,0.24,0.73,1.0,1.0,0.75
hazelcast.csv,0.49,0.11,0.63,0.42,0.35,1.0,0.76,0.14,0.25,0.8,0.33,0.19,0.13,0.61,0.36,1.0,0.65
jedit.csv,1.0,0.16,0.74,0.54,0.29,1.0,0.81,0.12,0.33,0.84,0.55,0.36,0.25,0.71,0.45,1.0,0.8
jmonkeyengine.csv,0.74,0.29,1.0,0.11,0.17,0.86,0.6,0.14,1.0,0.71,0.17,0.23,0.29,0.82,0.57,1.0,0.89
kolmafia.csv,0.72,0.09,0.84,0.56,0.28,1.0,0.86,0.06,0.34,0.86,0.35,0.25,0.22,0.98,0.43,1.0,0.57
lamp.csv,0.67,1.0,0.75,0.5,0.0,1.0,0.93,0.33,0.36,0.89,0.0,0.0,0.2,0.68,0.58,1.0,0.64
lcfizvtop.csv,0.74,0.08,0.89,0.55,0.39,1.0,0.96,0.16,0.43,0.83,0.18,1.0,0.31,0.68,0.5,1.0,0.75
onotoa.csv,0.47,0.13,0.65,0.34,0.38,0.86,0.79,0.18,0.27,0.99,0.53,0.26,0.16,0.62,0.44,0.96,0.67
openintents.csv,0.41,0.08,0.58,1.0,0.27,0.83,0.92,0.09,0.24,0.76,0.21,0.25,0.11,0.57,0.4,0.96,0.8
qlc.csv,0.27,0.05,0.33,0.67,0.38,0.45,0.65,1.0,0.31,1.0,0.0,0.5,0.14,0.4,0.5,1.0,0.8
triplea.csv,0.48,0.09,0.97,0.6,0.42,1.0,0.87,0.09,0.32,0.84,0.41,0.21,0.19,0.62,0.44,1.0,0.71
