,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.81,0.7,0.72,0.4,0.63,0.59,0.7,0.76,0.84,0.8,0.52,0.54,0.95,0.66,0.79,0.94,0.78,0.0,0.8,0.83
bl-toolkit.csv,0.67,0.62,0.71,0.69,0.54,0.0,0.59,0.75,0.6,0.68,0.57,0.5,0.58,0.74,0.5,1.0,0.84,0.77,0.87,0.88
capcode.csv,0.08,0.96,0.91,0.81,1.01,0.88,0.85,0.97,1.0,0.92,0.97,0.81,0.86,0.95,0.86,0.97,0.87,0.95,0.86,0.87
gebr.csv,0.79,0.71,0.84,0.56,0.59,0.46,0.66,0.78,0.85,0.68,0.03,0.69,0.95,0.66,0.57,0.92,0.7,0.79,0.94,0.85
gpac.csv,0.63,0.81,0.75,1.02,0.76,0.73,0.77,0.73,0.07,0.53,0.79,0.73,0.74,0.77,0.66,0.75,0.81,0.63,0.79,0.69
gretl.csv,0.63,0.54,0.81,0.59,0.7,0.53,0.72,0.44,0.83,0.93,0.44,0.07,0.98,0.74,0.62,0.69,0.89,0.53,0.96,0.84
kindb.csv,0.8,0.51,0.71,0.68,0.61,0.7,0.49,0.56,0.84,0.54,0.51,0.49,0.81,0.48,0.53,0.06,0.75,0.5,0.69,0.61
kowari.csv,0.93,0.84,0.91,0.89,0.96,0.86,0.86,0.93,0.85,0.86,0.76,1.0,0.29,0.79,0.95,0.91,0.78,0.91,0.83,1.0
libtorrent.csv,0.88,0.73,0.76,0.49,0.81,0.98,0.79,0.53,0.86,0.97,0.44,0.51,1.0,0.0,0.9,0.81,0.78,0.79,0.84,0.76
linuxsh.csv,0.76,0.72,0.0,0.86,0.67,0.7,0.62,0.42,0.74,0.85,0.85,0.78,0.79,0.57,0.51,0.56,0.9,0.46,0.72,0.62
lmms.csv,0.5,0.0,0.93,0.74,0.6,0.87,0.79,0.66,0.72,0.98,0.49,0.87,0.7,0.65,0.74,0.82,0.65,0.67,0.94,0.75
lufa-lib.csv,0.75,0.74,0.67,0.56,0.85,0.65,0.76,1.0,0.8,0.82,0.84,0.7,0.88,0.81,0.67,0.8,0.04,0.78,0.86,0.68
mbse.csv,0.66,0.78,0.93,0.99,0.64,0.96,0.69,0.78,0.65,0.06,0.78,0.79,0.71,0.76,0.63,0.56,0.71,0.76,0.69,0.69
mcmc-jags.csv,0.82,0.55,0.58,0.02,0.82,0.57,0.53,0.61,0.63,0.62,0.61,0.58,0.55,0.66,0.62,0.69,0.7,0.62,0.7,0.51
miranda.csv,0.6,0.64,0.71,0.74,0.52,0.68,0.58,0.55,0.77,0.85,0.7,0.74,0.63,0.64,0.74,0.58,0.87,0.47,0.71,0.04
modellus.csv,0.69,0.56,0.9,0.81,0.88,0.67,0.7,0.69,0.66,0.89,0.66,0.73,0.58,0.78,0.06,0.66,0.97,0.57,0.92,0.65
mplayer-ce.csv,0.85,0.76,0.68,0.41,0.72,0.76,0.81,0.78,0.8,0.76,0.55,0.68,0.46,0.67,0.77,0.41,0.61,0.76,0.05,0.59
nicepress.csv,0.85,0.81,0.92,0.81,0.71,0.92,0.06,0.76,0.91,0.65,0.85,0.78,0.78,0.74,0.93,0.62,0.89,0.7,0.77,0.65
sbml.csv,0.55,0.66,0.7,0.72,0.74,0.5,0.59,0.03,0.68,0.88,0.65,0.64,0.63,0.5,0.56,0.95,0.75,0.55,0.85,0.81
scite-ru.csv,0.88,0.74,0.73,0.55,0.1,0.62,0.6,0.72,0.88,0.83,0.96,0.77,0.96,0.56,0.89,0.54,0.89,0.65,0.75,0.57
