,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,0.75,0.86,0.64,0.87,0.81,0.78,0.94,0.91,0.89,0.89,0.55,0.79,0.86,0.75,0.9,0.97,0.81,1.0,0.87,0.95
bl-toolkit.csv,0.75,0.51,0.73,0.33,0.57,1.0,0.56,0.37,0.77,0.72,0.45,0.7,0.71,0.26,0.58,0.03,0.63,0.26,0.9,0.13
capcode.csv,0.92,0.06,0.09,0.2,0.0,0.14,0.17,0.07,0.0,0.08,0.27,0.21,0.14,0.05,0.15,0.03,0.14,0.08,0.14,0.13
gebr.csv,0.75,0.88,1.0,0.87,0.81,0.72,0.69,0.96,0.8,0.52,0.97,0.81,1.0,0.76,0.79,0.71,0.86,0.95,0.93,0.93
gpac.csv,0.42,0.3,0.36,0.0,0.29,0.28,0.28,0.39,0.93,0.6,0.22,0.35,0.43,0.34,0.51,0.29,0.29,0.41,0.48,0.43
gretl.csv,0.67,0.77,0.73,0.73,0.76,0.72,0.89,0.72,0.95,0.98,0.64,0.99,0.71,0.68,0.87,0.91,0.92,0.82,0.96,0.92
kindb.csv,0.67,0.6,0.45,0.33,0.71,0.38,0.61,0.75,0.79,0.78,0.54,0.68,0.86,0.72,0.81,0.94,0.46,0.74,0.67,0.82
kowari.csv,0.08,0.22,0.36,0.2,0.05,0.38,0.17,0.34,0.18,0.23,0.27,0.14,0.71,0.26,0.06,0.24,0.3,0.2,0.2,0.0
libtorrent.csv,0.92,0.84,0.73,0.6,0.95,0.8,0.86,0.76,0.89,0.98,0.66,0.74,1.0,1.0,0.95,0.94,0.76,0.91,0.85,0.89
linuxsh.csv,0.25,0.49,1.0,0.27,0.57,0.7,0.56,0.68,0.48,0.6,0.4,0.33,0.43,0.65,0.64,0.59,0.11,0.59,0.4,0.59
lmms.csv,0.58,1.0,0.82,0.93,0.67,0.46,0.78,0.66,0.62,0.95,0.58,0.89,0.57,0.66,0.29,0.68,0.83,0.56,0.95,0.71
lufa-lib.csv,0.42,0.31,0.45,0.47,0.19,0.38,0.42,0.38,0.23,0.18,0.24,0.32,0.14,0.26,0.52,0.29,0.96,0.27,0.15,0.37
mbse.csv,0.5,0.4,0.09,0.27,0.62,0.28,0.42,0.26,0.55,0.94,0.58,0.38,0.43,0.48,0.52,0.59,0.46,0.42,0.42,0.49
mcmc-jags.csv,0.58,0.54,0.64,1.0,0.19,0.66,0.67,0.58,0.52,0.45,0.39,0.52,0.57,0.43,0.56,0.32,0.32,0.39,0.36,0.67
miranda.csv,0.5,0.69,0.45,0.27,0.67,0.46,0.56,0.67,0.38,0.62,0.33,0.28,0.43,0.81,0.28,0.56,0.16,0.62,0.54,1.0
modellus.csv,0.42,0.5,0.55,0.2,0.19,0.8,0.36,0.36,0.55,0.91,0.35,0.8,0.57,0.3,0.94,0.65,0.68,0.47,0.85,0.47
mplayer-ce.csv,0.25,0.48,0.73,0.67,0.48,0.52,0.39,0.43,0.52,0.46,0.62,0.45,0.71,0.51,0.41,0.74,0.42,0.5,0.95,0.58
nicepress.csv,0.17,0.24,0.09,0.2,0.33,0.08,0.94,0.25,0.09,0.75,0.15,0.65,0.29,0.26,0.07,0.41,0.62,0.39,0.63,0.46
sbml.csv,0.67,0.6,0.82,0.53,0.9,0.62,0.75,1.0,0.64,0.15,0.42,0.65,0.86,0.76,0.57,0.85,0.68,0.65,0.74,0.73
scite-ru.csv,0.83,0.72,0.27,0.73,0.9,0.54,0.81,0.8,0.32,0.35,0.04,0.25,0.86,0.55,0.72,0.68,0.12,0.94,0.31,0.58
