,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.3,0.47,0.26,0.01,0.42,0.19,0.34,0.35,0.23,0.46
fulguro.csv,0.08,0.03,0.51,0.43,0.13,0.16,0.24,0.07,0.02,0.0
fw4spl.csv,0.25,0.09,0.62,0.5,0.16,0.76,0.01,0.22,0.21,0.23
google-web-toolkit.csv,0.6,0.34,0.41,0.5,0.61,0.19,0.11,0.01,0.26,0.39
jstock.csv,0.05,0.0,0.03,0.09,0.03,0.05,0.02,0.1,0.0,0.06
ldview.csv,0.08,0.09,0.67,0.63,0.23,0.0,0.32,0.27,0.16,0.39
nuttx.csv,0.22,0.45,0.03,0.3,0.42,0.22,0.52,0.61,0.42,0.3
utgb.csv,0.15,0.28,0.05,0.07,0.03,0.14,0.25,0.12,0.07,0.19
vdsf.csv,0.78,0.03,0.38,0.45,0.81,0.73,0.38,0.71,0.84,0.9
xbrlapi.csv,0.02,0.79,0.79,0.65,0.39,0.38,0.34,0.46,0.42,0.53
