,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv,nabu-library.csv
autoopencas.csv,0.19,0.39,0.68,0.09,0.43
nabu-library.csv,0.34,0.29,0.43,0.33,0.84
pcgen.csv,0.68,0.67,0.38,0.45,0.61
selenium.csv,0.69,0.61,0.38,0.59,0.39
tolven.csv,0.57,0.67,0.06,0.68,0.11
