,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv
fm-classic.csv,0.29,0.33,1.0,0.12,0.08,0.0
foursquared.csv,0.14,0.11,0.0,0.88,0.0,0.0
ifmo-game-1.csv,1.0,0.0,0.33,0.33,0.08,1.0
micomt.csv,0.86,0.56,0.67,1.0,0.77,1.0
voms.csv,0.29,0.89,1.0,0.75,0.38,1.0
