,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.09,0.75,0.42,0.38,0.73,0.01,0.45,0.98,0.52,0.49,0.47,0.48,0.75
echongl.csv,0.12,0.84,0.26,0.29,0.91,0.0,0.41,0.94,0.56,0.82,0.38,0.26,1.0
les-indemodables.csv,0.11,0.8,0.31,0.3,0.91,0.01,0.42,0.96,0.55,0.67,0.54,0.51,0.88
mbse.csv,0.14,0.8,0.28,0.44,0.64,0.01,0.41,0.93,0.53,0.47,0.49,0.39,0.83
ns-3-dev-def-routing.csv,0.12,0.75,0.32,0.25,0.9,0.02,0.56,0.94,0.25,0.41,0.47,0.34,0.74
psycle.csv,0.12,0.79,0.35,0.27,0.76,0.01,0.43,0.95,0.47,0.38,0.44,0.49,0.85
qpe.csv,0.17,0.91,0.34,0.33,0.97,0.0,0.43,0.96,0.48,0.43,0.4,0.51,0.87
simplewebservices.csv,0.08,0.66,0.27,0.24,0.71,0.01,0.38,0.95,0.41,0.36,0.55,0.37,0.73
v8.csv,0.09,0.56,0.25,0.27,0.72,0.0,0.38,0.99,0.51,0.27,0.42,0.15,0.74
wikipediardware.csv,0.12,0.78,0.3,0.25,0.71,0.01,0.38,0.97,0.52,0.4,0.42,0.32,0.91
wxstudio.csv,0.08,0.68,0.22,0.25,0.56,0.01,0.4,0.88,0.62,0.22,0.57,0.43,0.69
xamj.csv,0.08,0.68,0.32,0.25,0.81,0.01,0.37,0.94,0.46,0.34,0.41,0.58,0.78
