,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,99.0,99.0,285.5,197.5,197.5,4405.5,96.5,99.0,190.0,98.5,196.0,99.0,95.5
echongl.csv,99.0,99.0,196.5,296.5,98.5,3547.5,395.5,99.0,280.5,75.5,99.0,99.0,93.5
les-indemodables.csv,99.0,492.0,97.5,296.5,97.5,3764.5,395.0,99.0,280.5,98.5,196.0,99.0,95.5
mbse.csv,99.0,393.0,196.5,98.5,96.5,3211.0,494.0,92.5,379.0,432.5,586.5,99.0,95.5
ns-3-dev-def-routing.csv,99.0,99.0,383.5,494.0,197.5,2625.5,97.5,99.0,1075.5,98.5,96.5,99.0,95.5
psycle.csv,99.0,99.0,196.5,494.0,197.5,3537.5,196.5,99.0,99.0,98.5,99.0,99.0,95.5
qpe.csv,99.0,97.5,196.5,296.5,97.5,948.5,195.0,98.5,280.5,71.5,99.0,99.0,95.5
simplewebservices.csv,99.0,99.0,196.5,494.0,197.5,4170.5,494.0,99.0,99.0,98.5,195.5,99.0,95.5
v8.csv,99.0,99.0,549.0,395.5,197.5,2954.0,494.0,99.0,99.0,95.5,99.0,99.0,95.5
wikipediardware.csv,99.0,491.5,196.5,494.0,98.5,5240.0,395.0,99.0,280.5,98.5,99.0,99.0,95.5
wxstudio.csv,97.5,196.0,97.5,186.0,95.5,2920.0,197.5,92.5,285.5,590.5,177.0,99.0,95.5
xamj.csv,99.0,99.0,196.5,494.0,97.5,2817.0,490.5,98.5,476.5,94.5,444.5,99.0,95.5
