,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.66,0.74,0.61,0.78,0.54,0.83,0.54,0.83,0.74,0.57,0.67
biopax.csv,0.13,0.21,0.0,0.41,0.46,0.0,0.21,0.09,0.87,0.0,0.0
crux-framework.csv,0.19,0.37,0.17,0.04,0.38,0.25,0.1,0.12,0.04,0.97,0.13
kml.csv,0.13,0.0,0.17,0.47,0.81,0.45,0.09,0.13,0.0,0.05,0.0
les-indemodables.csv,0.59,0.54,0.65,0.65,0.76,0.56,0.71,0.3,0.45,0.54,0.59
metacosm.csv,0.53,0.52,0.63,0.47,0.56,0.52,0.69,0.38,0.4,0.36,0.77
moviesandbox.csv,0.71,0.5,0.27,0.69,0.2,0.8,0.43,0.78,0.68,0.59,0.64
sigil.csv,0.72,0.55,0.47,0.75,0.33,0.8,0.64,0.77,0.47,0.51,0.7
unflobtactical.csv,0.71,0.65,0.48,0.73,0.17,0.86,0.13,0.68,0.76,0.36,0.57
xtreemfs.csv,0.65,0.3,0.61,0.71,0.74,0.87,0.48,0.84,0.58,0.7,0.67
yale.csv,0.5,0.49,0.52,0.35,0.45,0.52,0.44,0.38,0.45,0.0,0.45
