,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.63,0.78,0.23,0.78,0.75,0.75,0.39,0.95,0.93,0.03,0.54
biopax.csv,0.55,0.52,0.15,0.6,0.51,0.58,0.37,0.84,0.98,0.03,0.47
crux-framework.csv,0.5,0.48,0.18,0.5,0.43,0.61,0.15,0.84,0.5,0.18,0.33
kml.csv,0.56,0.52,0.15,0.61,0.81,0.61,0.37,0.84,0.78,0.03,0.47
les-indemodables.csv,0.63,0.69,0.2,0.76,0.66,0.79,0.63,0.74,0.81,0.03,0.68
metacosm.csv,0.62,0.59,0.18,0.68,0.66,0.76,0.53,0.76,0.96,0.02,0.72
moviesandbox.csv,0.7,0.83,0.15,0.75,0.6,0.75,0.37,0.95,0.94,0.03,0.53
sigil.csv,0.67,0.85,0.2,0.84,1.0,0.82,0.57,0.9,0.94,0.03,0.56
unflobtactical.csv,0.65,0.68,0.14,0.76,0.83,0.8,0.37,0.88,0.89,0.03,0.48
xtreemfs.csv,0.63,0.54,0.2,0.68,0.62,0.83,0.38,0.96,0.9,0.04,0.56
yale.csv,0.55,0.5,0.24,0.51,0.5,0.56,0.29,0.83,0.72,0.0,0.55
