,vapor.csv,zscreen.csv,autoopencas.csv,mbse.csv,avisynth2.csv,lportal.csv,les-indemodables.csv,simplewebservices.csv,mplayer-ce.csv
autoopencas.csv,0.32,0.04,0.95,0.0,0.0,0.01,0.0,0.0,0.0
avisynth2.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
les-indemodables.csv,0.3,0.32,0.26,0.29,0.0,0.12,0.99,0.29,0.29
lportal.csv,0.28,0.33,0.37,0.25,0.0,0.92,0.15,0.16,0.31
mbse.csv,0.35,0.67,0.43,0.97,0.06,0.1,0.23,0.44,0.46
mplayer-ce.csv,0.38,0.7,0.43,0.35,0.07,0.08,0.5,0.55,0.98
simplewebservices.csv,0.36,0.43,0.24,0.42,0.13,0.12,0.53,0.98,0.6
vapor.csv,0.86,0.26,0.12,0.18,0.0,0.06,0.32,0.33,0.19
zscreen.csv,0.45,1.0,0.43,0.3,0.09,0.08,0.57,0.51,0.35
