,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,45.5,122.0,89.5,240.5,93.5,113.0,400.0,97.5,63.5,0.0
coot.csv,94.5,97.5,98.5,220.0,2294.0,98.5,98.5,97.5,122.5,97.5
haggle.csv,92.5,98.5,97.5,628.0,289.5,98.5,196.0,97.5,197.5,182.0
ibatisdb.csv,168.0,98.5,98.5,1082.5,422.5,192.0,198.5,368.0,197.5,97.5
jas.csv,439.5,372.5,95.5,443.0,291.5,99.0,97.5,97.5,99.0,97.5
mesa3d.csv,94.5,98.5,98.5,1052.5,483.5,99.0,197.0,457.5,290.5,97.5
ngl.csv,97.5,98.5,98.5,683.5,390.0,98.5,196.0,97.5,375.0,97.5
pustefix.csv,15.5,448.0,95.5,1553.5,386.0,98.5,197.0,97.5,99.0,95.5
scenemonitor.csv,94.5,214.5,98.5,0.0,93.5,99.0,196.0,177.0,0.0,279.5
wsmt.csv,97.5,141.0,111.0,154.0,193.0,99.0,97.5,97.5,60.5,170.0
