,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.15,0.0,0.09,1.0,0.06,0.0,0.0,0.2,0.06,0.0
coot.csv,0.75,0.35,0.73,0.0,0.47,0.5,0.38,0.8,0.0,0.72
haggle.csv,0.25,0.61,0.62,0.0,0.28,0.13,0.25,0.17,0.29,0.28
ibatisdb.csv,0.2,0.61,0.19,0.0,0.81,0.21,0.0,0.23,0.57,0.6
jas.csv,0.15,0.39,0.41,0.67,0.11,0.64,0.88,0.66,0.74,0.42
mesa3d.csv,0.75,0.61,0.58,1.0,0.78,0.74,0.25,0.29,0.52,0.82
ngl.csv,0.85,0.7,0.88,0.67,0.44,0.6,0.75,1.0,0.2,0.85
pustefix.csv,0.1,0.61,0.65,1.0,0.17,0.54,0.62,0.34,0.83,0.65
scenemonitor.csv,0.7,0.26,0.12,0.0,0.11,0.41,0.12,0.23,0.0,0.12
wsmt.csv,0.65,0.13,0.08,0.33,0.08,0.1,0.5,0.77,0.0,0.05
