,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.71,0.66,0.68,0.63,0.67,0.57,1.01,0.7,0.67,0.37,0.63,0.67
ctrlr.csv,0.91,1.0,0.99,0.94,0.79,1.0,0.32,0.93,0.6,1.01,0.91,0.76
dvt.csv,0.7,0.81,0.99,0.47,0.78,0.96,0.47,0.74,0.51,0.71,0.69,0.79
flylinkdc.csv,0.37,0.97,0.86,0.82,0.64,0.82,0.8,0.58,1.1,0.63,0.7,0.94
free-evolution.csv,0.92,0.91,0.82,0.76,0.71,0.65,0.59,0.81,0.83,0.53,0.59,0.46
fw4spl.csv,0.59,0.7,0.78,0.82,0.89,0.51,0.88,0.62,0.9,0.53,0.58,0.65
ipfire-wall.csv,0.63,0.49,0.74,0.84,0.95,0.82,0.86,0.32,1.12,0.92,0.88,0.84
ldview.csv,0.87,0.55,0.78,0.87,0.41,0.6,0.91,0.84,0.9,0.84,0.67,0.59
nuttx.csv,0.54,0.96,0.61,0.92,0.7,0.68,0.91,0.78,0.56,0.54,0.63,0.66
uclmda.csv,0.84,1.0,0.84,0.86,0.83,0.79,0.77,0.95,0.01,0.9,0.83,0.75
vdsf.csv,0.85,0.67,1.0,0.81,0.66,0.9,0.86,0.89,0.71,0.84,0.92,1.01
xcf.csv,0.65,0.48,0.74,0.61,0.51,0.58,0.78,0.7,0.89,0.72,0.7,0.37
