,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.33,0.17,0.67,0.41,0.46,0.28,0.0,0.37,0.96,0.45,0.37,0.47
ctrlr.csv,0.15,0.0,0.01,0.16,0.3,0.0,0.64,0.13,0.66,0.03,0.13,0.42
dvt.csv,0.42,0.15,0.02,0.54,0.4,0.05,0.52,0.4,0.95,0.22,0.32,0.34
flylinkdc.csv,0.61,0.15,0.83,0.43,0.44,0.18,0.36,0.49,0.04,0.27,0.34,0.44
free-evolution.csv,0.42,0.16,0.88,0.31,0.5,0.25,0.46,0.33,0.98,0.32,0.39,0.67
fw4spl.csv,0.43,0.18,0.44,0.24,0.18,0.34,0.18,0.45,0.19,0.32,0.43,0.49
ipfire-wall.csv,0.47,0.25,0.57,0.22,0.08,0.22,0.19,0.7,0.0,0.13,0.17,0.26
ldview.csv,0.42,0.24,0.66,0.23,0.64,0.26,0.13,0.52,0.79,0.19,0.36,0.59
nuttx.csv,0.49,0.06,0.79,0.13,0.39,0.28,0.14,0.31,0.71,0.32,0.37,0.48
uclmda.csv,0.22,0.0,0.28,0.23,0.3,0.19,0.3,0.16,1.0,0.1,0.22,0.38
vdsf.csv,0.38,0.26,0.73,0.44,0.52,0.1,0.36,0.52,0.65,0.19,0.34,0.5
xcf.csv,0.48,0.25,0.47,0.43,0.56,0.27,0.27,0.58,0.8,0.22,0.32,0.78
