,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,1173.0,99.0,393.5,98.5,289.5,99.0,97.5,98.5,0.0,3418.5,99.0,2.5
ivatamasks.csv,1101.5,98.5,373.5,98.5,98.5,71.5,97.5,197.5,97.5,4911.5,99.0,99.0
orc.csv,310.5,99.0,295.0,98.5,98.5,99.0,97.5,0.0,0.0,2109.0,99.0,124.0
plato.csv,914.5,99.0,293.5,98.5,387.0,99.0,97.5,98.5,97.5,4233.0,99.0,198.0
proftp.csv,41.0,97.5,196.0,98.5,98.5,98.5,97.5,96.5,0.0,1540.0,99.0,0.0
tycho.csv,631.5,99.0,97.5,98.5,288.5,99.0,177.0,197.5,97.5,1645.0,99.0,100.5
uclmda.csv,112.0,55.5,1742.5,0.0,426.0,179.5,84.5,60.5,94.5,505.0,72.5,99.0
umber.csv,267.5,99.0,393.5,98.5,98.5,99.0,97.5,98.5,73.5,4131.0,99.0,198.0
unicase.csv,443.5,99.0,393.5,98.5,98.5,99.0,97.5,97.5,95.5,3663.0,99.0,198.0
vienna-add-in.csv,634.5,99.0,196.0,289.5,290.5,99.0,62.5,197.5,95.5,2308.0,99.0,98.5
wpdev.csv,1101.5,99.0,393.5,98.5,98.5,99.0,97.5,197.5,97.5,5129.0,99.0,198.0
