,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.47,0.25,0.52,1.0,0.63,0.36,0.44,0.3,0.56,0.57,0.45,0.47,0.42,0.51,0.5
aufs.csv,0.55,0.39,0.44,0.5,0.27,0.58,0.27,0.61,0.93,0.17,0.53,0.41,0.14,0.5,0.28
bulmages.csv,0.04,0.22,0.23,0.35,0.18,0.07,0.06,0.06,0.0,0.96,0.4,0.04,0.58,0.0,0.0
coot.csv,0.31,0.34,0.45,0.49,0.52,0.35,0.35,0.57,0.44,0.51,0.58,0.3,1.0,0.22,0.46
emono.csv,0.49,0.37,0.33,0.48,0.46,0.45,0.45,0.57,0.24,0.44,0.45,0.52,0.5,0.56,0.99
extprosys.csv,0.59,0.92,0.17,0.53,0.26,0.43,0.17,0.45,0.51,0.36,0.39,0.32,0.25,0.47,0.38
freelords.csv,0.33,0.09,0.6,0.57,0.5,0.53,0.98,0.34,0.2,0.57,0.51,0.55,0.43,0.47,0.0
jnode.csv,0.35,0.0,0.13,0.0,0.04,1.0,0.05,0.0,0.0,0.17,0.0,0.06,0.06,0.06,0.07
jruby.csv,0.44,0.18,0.25,0.42,0.62,0.56,0.42,0.71,0.65,0.39,0.5,0.52,0.1,0.99,0.44
jsecurity.csv,0.54,0.4,0.47,0.17,0.93,0.51,0.38,0.43,0.49,0.67,0.38,0.18,0.5,0.39,0.53
matrex.csv,0.6,0.02,0.13,0.23,0.21,0.48,0.26,0.39,0.48,0.06,0.96,0.49,0.12,0.23,0.13
officefloor.csv,0.0,0.43,0.53,0.68,0.06,0.14,0.19,0.82,0.24,0.54,0.41,0.41,0.52,0.43,0.09
projectfactory.csv,0.52,0.25,0.22,0.19,0.51,0.71,0.52,0.38,0.73,0.0,0.36,0.98,0.1,0.3,0.35
taverna.csv,0.22,0.18,1.0,0.13,0.18,0.14,0.29,0.24,0.0,0.52,0.38,0.41,0.36,0.12,0.28
vxl.csv,0.91,0.18,0.56,0.44,0.1,0.14,0.5,0.13,0.49,0.36,0.04,0.46,0.4,0.28,0.34
