,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.5,0.74,0.56,0.16,0.46,0.22,0.64,0.0,0.5,0.5,0.78
freedom-erp.csv,0.55,0.04,0.32,0.0,0.0,0.03,0.1,0.74,1.0,0.0,0.38
haggle.csv,0.55,0.7,0.32,0.64,0.36,0.27,0.9,0.15,0.88,0.5,0.88
jchassis.csv,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,1.0,0.0
jmoney.csv,0.75,0.85,0.51,0.41,0.72,0.37,0.21,0.31,0.88,0.0,0.18
jsidplay2.csv,0.55,0.22,0.81,0.19,0.74,0.38,0.56,0.99,0.12,0.0,0.0
madman.csv,0.15,0.3,0.2,0.35,0.18,0.23,0.21,0.03,0.88,0.0,0.32
matrex.csv,0.7,0.3,0.36,0.08,0.64,0.01,0.82,0.38,0.25,0.0,0.02
mediate.csv,0.1,0.33,0.12,0.36,0.77,0.25,0.55,0.41,0.38,1.0,0.55
primefaces.csv,0.95,1.0,0.75,1.0,0.87,1.0,0.88,0.36,1.0,1.0,0.78
tmva.csv,0.9,0.52,1.0,0.78,1.0,0.74,1.0,1.0,0.88,0.0,0.88
