,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.86,0.3,0.0,0.83,0.55
mediaportal.csv,0.91,1.02,0.78,0.07,0.8
poormans.csv,0.63,0.57,0.72,0.5,0.0
smartgwt.csv,0.71,0.05,0.58,0.69,0.6
sqlpower-library.csv,0.0,0.94,1.0,0.73,0.92
