,f1,g,recall,precision,pf,cdom,bellwether
1,0.82,0.53,0.525,0.46,0.455,6.0,primefaces.csv
9,0.8300000000000001,0.825,0.48,0.51,0.6399999999999999,1.0,gpsmid.csv
12,0.715,0.6950000000000001,0.595,0.495,0.495,1.0,yafdotnet.csv
15,0.82,0.77,0.6,0.57,0.51,2.0,mob-sen-plat.csv
21,0.885,0.69,0.6,0.49,0.47,19.0,jajuk.csv
42,0.54,0.49,0.42,0.43,0.47,19.0,openwbem.csv
19,0.72,0.63,0.54,0.485,0.54,0.0,javagroups.csv
20,0.56,0.38,0.25,0.405,0.56,0.0,jvcl.csv
